Rank,Title,Citations,Year,URL,Description
1,At home with ubiquitous computing: Seven challenges,944,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:u5HHmVD_uO8C,"The smart home offers a new opportunity to augment people’s lives with ubiquitous computing technology that provides increased communications, awareness, and functionality. Recently, a number of trends have increased the likelihood that the aware home can soon become a reality. We examine a number of challenges from the technical, social, and pragmatic domains that we feel must be overcome before the vision of the smart home, posited by ubiquitous computing research, can become a reality. Our hope in raising these issues is to create a conversation among researchers in the varied disciplines that make up ubiquitous computing. In particular, we hope to raise awareness of the existing literature on the adoption, use, and history of domestic technologies, as well as the use of situated studies, and the benefits that these can bring to bear on the design and evaluation of technologies for the home"
2,Core Jini,781,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:ZuybSZzF8UAC,"Core Jini | CiNii Research CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 詳細へ移動 検索 フォームへ移動 論文・データをさがす 大学図書館の本をさがす English 検索 タイトル 人物/団体名 所属 機関 ISSN DOI 期間 ~ 本文リンク 本文リンクあり データソース JaLC IRDB Crossref DataCite NDLサーチ NDLデジコレ(旧NII-ELS) RUDA JDCat NINJAL CiNii Articles CiNii Books NACSIS-CAT/ILL DBpedia KAKEN Integbio PubMed LSDB Archive 極地研ADS 極地研学術DB OpenAIRE 公共データカタログ すべて 研究データ 論文 本 博士論文 プロジェクト [2025年5月12日更新 ]CiNii Dissertations及びCiNii BooksのCiNii Researchへの統合について CiNii Researchナレッジ グラフ検索機能(試行版)をCiNii Labsにて公開しました 「研究データ」「根拠データ」の収録について Core Jini Web Site CiNii 所蔵館 7館 Edwards, W. Keith 書誌事項 タイトル ""Core Jini"" 責任表示 W. Keith Edwards 出版者 Prentice Hall 出版年月 c1999 書籍サイズ 24 cm この図書・雑誌を…"
3,Proceedings of the 31st Annual CHI Conference on Human Factors in Computing Systems,743,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:prdVHNxh-e8C,"The CHI Papers and Notes program is continuing to grow along with many of our sister conferences. We are pleased that CHI is still the leading venue for research in human-computer interaction. CHI 2013 continued the use of subcommittees to manage the review process. Authors selected the subcommittee they believed was best qualified to review their work: For clarity, we retained the same committee identifiers as last year. Due to the continuing growth in submissions, we split several subcommittees into more manageable sizes. We are pleased with the subcommittee process: By dividing the work, each paper received much more careful discussion than would otherwise have been possible. This year we had 1963 total submissions, including 1347 papers and 617 notes, representing a 24% growth over last year. We accepted 392 submissions (20%): 316 papers and 76 notes. The CHI review process demands a tremendous amount of work from all areas of the human-computer interaction community. As co-chairs of the process, we are amazed at the ability of the community to organize itself to accomplish this task. We would like to thank the 2680 individual reviewers for their careful consideration of these papers. We also deeply appreciate the huge amount of time donated to this process by the 211-member program committee, who paid their own way to attend the face-to-face program committee meeting, an event larger than the average ACM conference. We are proud of the work of the CHI 2013 program committee and hope that you enjoy these papers and notes, which represent the best research in human-computer interaction."
4,Intelligibility and accountability: human considerations in context-aware systems,718,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:uc_IGeMz5qoC,"This essay considers the problem of defining the context that context-aware systems should pay attention to from a human perspective. In particular, we argue that there are human aspects of context that cannot be sensed or even inferred by technological means, so context-aware systems cannot be designed simply to act on our behalf. Rather, they will have to be able to defer to users in an efficient and nonobtrusive fashion. Our point is particularly relevant for systems that are constructed such that applications are architecturally isolated from the sensing and inferencing that governs their behavior. We propose a design framework that is intended to guide thinking about accommodating human aspects of context. This framework presents four design principles that support intelligibility of system behavior and accountability of human users and a number of human-salient details of context that must be accounted for …"
5,"Intersectional HCI: Engaging identity through gender, race, and class",589,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:DJbcl8HfkQkC,"Understanding users becomes increasingly complicated when we grapple with various overlapping attributes of an individual's identity. In this paper we introduce intersectionality as a framework for engaging with the complexity of users' ""and authors"" ""identities"", and situating these identities in relation to their contextual surroundings. We conducted a meta-review of identity representation in the CHI proceedings, collecting a corpus of 140 manuscripts on gender, ethnicity, race, class, and sexuality published between 1982-2016. Drawing on this corpus, we analyze how identity is constructed and represented in CHI research to examine intersectionality in a human-computer interaction (HCI) context. We find that previous identity-focused research tends to analyze one facet of identity at a time. Further, research on ethnicity and race lags behind research on gender and socio-economic class. We conclude this paper …"
6,Making sense of sensing systems: five questions for designers and researchers,530,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:d1gkVwhDpl0C,"This paper borrows ideas from social science to inform the design of novel ""sensing"" user-interfaces for computing technology. Specifically, we present five design challenges inspired by analysis of human-human communication that are mundanely addressed by traditional graphical user interface designs (GUIs). Although classic GUI conventions allow us to finesse these questions, recent research into innovative interaction techniques such as 'Ubiquitous Computing' and 'Tangible Interfaces' has begun to expose the interaction challenges and problems they pose. By making them explicit we open a discourse on how an approach similar to that used by social scientists in studying human-human interaction might inform the design of novel interaction mechanisms that can be used to handle human-computer communication accomplishments"
7,Extending document management systems with user-specific active properties,436,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:9yKSN-GCB0IC,"Document properties are a compelling infrastructure on which to develop document management applications. A property-based approach avoids many of the problems of traditional heierarchical storage mechanisms, reflects document organizations meaningful to user tasks, provides a means to integrate the perspectives of multiple individuals and groups, and does this all within a uniform interaction framework. Document properties can reflect not only categorizations of documents and document use, but also expressions of desired system activity, such as sharing criteria, replication management, and versioning. Augmenting property-based document management systems with active properties that carry executable code enables the provision of document-based services on a property infrastructure. The combination of document properties as a uniform mechanism for document management, and active …"
8,Flatland: New dimensions in office whiteboards,428,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:u-x6o8ySG0sC,"Flatland is an augmented whiteboard interface designed for informal office work. Our research investigates approaches to building an augmented whiteboard in the context of continuous, long term office use. In particular, we pursued three avenues of research based on input from user studies: techniques for the management of space on the board, the ability to flexibly apply behaviors to support varied application semantics, and mechanisms for managing history on the board. Unlike some previously reported whiteboard systems, our design choices have been influenced by a desire to support long-term, informal use in an individual office setting."
9,Give and take: a study of consumer photo-sharing culture and practice,415,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:IjCSPb-OGe4C,"In this paper, we present initial findings from the study of a digital photo-sharing website: Flickr.com. In particular, we argue that Flickr.com appears to support-for some people-a different set of photography practices, socialization styles, and perspectives on privacy that are unlike those described in previous research on consumer and amateur photographers. Further, through our examination of digital photographers' photowork activities-organizing, finding, sharing and receiving-we suggest that privacy concerns and lack of integration with existing communication channels have the potential to prevent the 'Kodak Culture' from fully adopting current photo-sharing solutions."
10,Presto: an experimental architecture for fluid interactive document spaces,359,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QYqwwwcAAAAJ&pagesize=50&citation_for_view=QYqwwwcAAAAJ:2osOgNQ5qMEC,"Traditional document systems use hierarchical filing structures as the basis for organizing, storing and retrieving documents. However, this structure is very limited in comparison with the rich and varied forms of document interaction and category management in everyday document use. Presto is a prototype document management system providing rich interaction with documents through meaningful, user-level document attributes, such as “Word file,” “published paper,” “shared with Jim,” “about Presto,” or “currently in progress” Document attributes capture the multiple different roles that a single document might play, and they allow users to rapidly reorganize their document space for the task at hand. They also provide a basis for novel document systems design and new approaches to document management and interaction. In this article, we outline the motivations behind this approach, describe the principal …"
