Rank,Title,Citations,Year,URL,Description
1,Adversarial design,1155,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:eq2jaN3J8jMC,"An exploration of the political qualities of technology design, as seen in projects that span art, computer science, and consumer products. In Adversarial Design, Carl DiSalvo examines the ways that technology design can provoke and engage the political. He describes a practice, which he terms “adversarial design,” that uses the means and forms of design to challenge beliefs, values, and what is taken to be fact. It is not simply applying design to politics—attempting to improve governance for example, by redesigning ballots and polling places; it is implicitly contestational and strives to question conventional approaches to political issues. DiSalvo explores the political qualities and potentials of design by examining a series of projects that span design and art, engineering and computer science, agitprop and consumer products. He views these projects—which include computational visualizations of networks of power and influence, therapy robots that shape sociability, and everyday objects embedded with microchips that enable users to circumvent surveillance—through the lens of agonism, a political theory that emphasizes contention as foundational to democracy. DiSalvo's illuminating analysis aims to provide design criticism with a new approach for thinking about the relationship between forms of political expression, computation as a medium, and the processes and products of design."
2,Mapping the landscape of sustainable HCI,1054,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:Tiz5es2fbqcC,"With the recent growth in sustainable HCI, now is a good time to map out the approaches being taken and the intellectual commitments that underlie the area, to allow for community discussion about where the field should go. Here, we provide an empirical analysis of how sustainable HCI is defining itself as a research field. Based on a corpus of published works, we identify (1) established genres in the area, (2) key unrecognized intellectual differences, and (3) emerging issues, including urgent avenues for further exploration, opportunities for interdisciplinary engagement, and key topics for debate."
3,Service robots in the domestic environment: a study of the roomba vacuum in the home,825,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:kNdYIx-mwKoC,"Domestic service robots have long been a staple of science fiction and commercial visions of the future. Until recently, we have only been able to speculate about what the experience of using such a device might be. Current domestic service robots, introduced as consumer products, allow us to make this vision a reality.This paper presents ethnographic research on the actual use of these products, to provide a grounded understanding of how design can influence human-robot interaction in the home. We used an ecological approach to broadly explore the use of this technology in this context, and to determine how an autonomous, mobile robot might ""fit"" into such a space. We offer initial implications for the design of these products: first, the way the technology is introduced is critical; second, the use of the technology becomes social; and third, that ideally, homes and domestic service robots must adapt to each other."
4,All robots are not created equal: the design and perception of humanoid robot heads,803,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:KlAtU1dfN6UC,"This paper presents design research conducted as part of a larger project on human-robot interaction. The primary goal of this study was to come to an initial understanding of what features and dimensions of a humanoid robot's face most dramatically contribute to people's perception of its humanness. To answer this question we analyzed 48 robots and conducted surveys to measure people's perception of each robot's humanness. Through our research we found that the presence of certain features, the dimensions of the head, and the total number of facial features heavily influence the perception of humanness in robot heads. This paper presents our findings and initial guidelines for the design of humanoid robot heads."
5,Infrastructuring and the formation of publics in participatory design,753,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:08ZZubdj9fEC,"Of late, there has been a renewed and reinvigorated exchange of ideas across science and technology studies and participatory design, emerging from a shared interest in ‘publics’. In this article, we explore the role of participatory design in constituting publics, drawing together recent scholarship in both science and technology studies and participatory design. To frame our discussion, we present two case studies of community-based participatory design as empirical examples. From these examples and the literature, we discuss the ways in which the concepts of infrastructuring and attachments are central to the constitution of publics. Finally, through an analysis of our case studies, we consider the differences between the practices of enabling participation and infrastructuring, calling attention to the ways that constituting publics foregrounds an engagement with authority structures and unknown futures through …"
6,Sustainably unpersuaded: how persuasion narrows our vision of sustainability,722,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:M3ejUd6NZC8C,"In this paper we provide a critical analysis of persuasive sustainability research from 2009-2011. Drawing on critical sociological theory of modernism, we argue that persuasion is based on a limited framing of sustainability, human behavior, and their interrelationship. This makes supporting sustainability easier, but leads to characteristic patterns of breakdown. We then detail problems that emerge from this narrowing of vision, such as how the framing of sustainability as the optimization of a simple metrics places technologies incorrectly as objective arbiters over complex issues of sustainability. We conclude by suggesting alternative approaches to move beyond these problems."
7,Design and the Construction of Publics,499,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:uWQEDVKXjbEC,"Design Life Now, and is documented in the exhibition catalog curated and authored by Barbara Bloemink, Brooke"
8,"Participatory design for, with, and by communities",403,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:NaGl4SEjCO4C,"The emergence of community-based Participatory Design as a distinctive field of Participatory Design is relatively recent. In this chapter we trace major themes in Participatory Design for, with and by communities and discuss topics that are shaping the future of the field. Comparatively small as an area of research and practice, community-based Participatory Design promises to grow in importance in light of the continuing expansion of digital networking in the context of prevailing neo-liberal market globalisation forces and the publics organised against those forces. The ongoing trend of lower cost, smaller size, increased capability, tighter interconnection and deeper penetration of information technologies into everyday life presents opportunities to bring Participatory Design perspectives to bear in community contexts. Accompanying this technological trend, and indirectly related to it, is the rising importance of social services and civil society. As Carroll et al. note"
9,Assistive robotics and an ecology of elders living independently in their homes,360,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:CHSYGLWDkRkC,"For elders who remain independent in their homes, the home becomes more than just a place to eat and sleep. The home becomes a place where people care for each other, and it gradually subsumes all activities. This article reports on an ethnographic study of aging adults who live independently in their homes. Seventeen elders aged 60 through 90 were interviewed and observed in their homes in 2 Midwestern cities. The goal is to understand how robotic products might assist these people, helping them to stay independent and active longer. The experience of aging is described as an ecology of aging made up of people, products, and activities taking place in a local environment of the home and the surrounding community. In this environment, product successes and failures often have a dramatic impact on the ecology, throwing off a delicate balance. When a breakdown occurs, family members and other …"
10,From seduction to fulfillment: the use of anthropomorphic form in design,268,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:4DMP91E08xMC,"In this paper, we discuss the use of anthropomorphic form in the design of products. We assert that anthropomorphic form is not merely an embellishment but that it can be used as a means of solving design problems. Through a series of examples we illustrate the various uses of anthropomorphic form in the design of products. Our distinctions provide designers and researchers a way to classify and understand the use of anthropomorphic form in design and in doing so, increase the potential that anthropomorphic form be used in an appropriate and compelling manner."
