Rank,Title,Citations,Year,URL,Description
1,A survey of context modelling and reasoning techniques,1658,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:u5HHmVD_uO8C,"Development of context-aware applications is inherently complex. These applications adapt to changing context information: physical context, computational context, and user context/tasks. Context information is gathered from a variety of sources that differ in the quality of information they produce and that are often failure prone. The pervasive computing community increasingly understands that developing context-aware applications should be supported by adequate context information modelling and reasoning techniques. These techniques reduce the complexity of context-aware applications and improve their maintainability and evolvability. In this paper we discuss the requirements that context modelling and reasoning techniques should meet, including the modelling of a variety of context information types and their relationships, of high-level context abstractions describing real world situations using context …"
2,"Method and apparatus for customizing conversation agents based on user characteristics using a relevance score for automatic statements, and a response prediction function",328,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:sSrBHYA8nusC,"A conversation-simulating system facilitates simulating an intelligent conversation with a human user. During operation, the system can receive a user-statement from the user during a simulated conversation, and generates a set of automatic-statements that each responds to the user-statement. The system then determines a set of behavior-characteristics for the user, and computes relevance scores for the automatic-statements based on the behavior-characteristics. Each relevance score indicates an outcome quality that the user is likely to perceive for the automatic-statement as a response to the user-statement. The system selects an automatic-statement that has a highest relevance score from the set of automatic-statements, and provides the selected automatic-statement to the user."
3,Learning situation models in a smart home,252,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:9yKSN-GCB0IC,"This paper addresses the problem of learning situation models for providing context-aware services. Context for modeling human behavior in a smart environment is represented by a situation model describing environment, users, and their activities. A framework for acquiring and evolving different layers of a situation model in a smart environment is proposed. Different learning methods are presented as part of this framework: role detection per entity, unsupervised extraction of situations from multimodal data, supervised learning of situation representations, and evolution of a predefined situation model with feedback. The situation model serves as frame and support for the different methods, permitting to stay in an intuitive declarative framework. The proposed methods have been integrated into a whole system for smart home environment. The implementation is detailed, and two evaluations are conducted in the …"
4,Detecting human behavior models from multimodal observation in a smart home,197,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:UeHWp8X0CEIC,"This paper addresses learning and recognition of human behavior models from multimodal observation in a smart home environment. The proposed approach is part of a framework for acquiring a high-level contextual model for human behavior in an augmented environment. A 3-D video tracking system creates and tracks entities (persons) in the scene. Further, a speech activity detector analyzes audio streams coming from head set microphones and determines for each entity, whether the entity speaks or not. An ambient sound detector detects noises in the environment. An individual role detector derives basic activity like ldquowalkingrdquo or ldquointeracting with tablerdquo from the extracted entity properties of the 3-D tracker. From the derived multimodal observations, different situations like ldquoaperitifrdquo or ldquopresentationrdquo are learned and detected using statistical models (HMMs). The objective …"
5,Proactive insider threat detection through graph learning and psychological context,196,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:GnPB-g6toBAC,"The annual incidence of insider attacks continues to grow, and there are indications this trend will continue. While there are a number of existing tools that can accurately identify known attacks, these are reactive (as opposed to proactive) in their enforcement, and may be eluded by previously unseen, adversarial behaviors. This paper proposes an approach that combines Structural Anomaly Detection (SA) from social and information networks and Psychological Profiling (PP) of individuals. SA uses technologies including graph analysis, dynamic tracking, and machine learning to detect structural anomalies in large-scale information network data, while PP constructs dynamic psychological profiles from behavioral patterns. Threats are finally identified through a fusion and ranking of outcomes from SA and PP. The proposed approach is illustrated by applying it to a large data set from a massively multi-player online …"
6,Multi-domain information fusion for insider threat detection,132,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:dfsIfKJdRG4C,"Malicious insiders pose significant threats to information security, and yet the capability of detecting malicious insiders is very limited. Insider threat detection is known to be a difficult problem, presenting many research challenges. In this paper we report our effort on detecting malicious insiders from large amounts of work practice data. We propose novel approaches to detect two types of insider activities: (1) blend-in anomalies, where malicious insiders try to behave similar to a group they do not belong to, and (2) unusual change anomalies, where malicious insiders exhibit changes in their behavior that are dissimilar to their peers' behavioral changes. Our first contribution focuses on detecting blend-in malicious insiders. We propose a novel approach by examining various activity domains, and detecting behavioral inconsistencies across these domains. Our second contribution is a method for detecting insiders …"
7,A study of Facebook behavior: What does it tell about your Neuroticism and Extraversion?,129,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:K3LRdlH-MEoC,"Social Network Sites offer users the opportunity to portray themselves with much freedom. People get an impression about a user based on this user’s online profile, posted content and interactions with friends. In this paper, we examine how Neuroticism and Extraversion traits are expressed through such behaviors of a user on Facebook. While previous research relied on self-reported Facebook usage from small samples of college students, we developed a Facebook application to directly retrieve data from 1327 users. This enables us to study fine-grained signals embedded in users’ behaviors, such as writing styles or number of “likes”, and correlate them with users’ personality. We present the features found to be significant and show that these features can be used to infer a user’s Neuroticism and Extraversion."
8,Learning to detect user activity and availability from a variety of sensor data,129,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:d1gkVwhDpl0C,"Using a networked infrastructure of easily available sensors and context-processing components, we are developing applications for the support of workplace interactions. Notions of activity and availability are learned from labeled sensor data based on a Bayesian approach. The higher-level information on the users is then automatically derived from low-level sensor information in order to facilitate informal ad hoc communications between peer workers in an office environment."
9,Automatic detection of interaction groups,118,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:u-x6o8ySG0sC,"This paper addresses the problem of detecting interaction groups in an intelligent environment. To understand human activity, we need to identify human actors and their interpersonal links. An interaction group can be seen as basic entity, within which individuals collaborate in order to achieve a common goal. In this regard, the dynamic change of interaction group configuration, i.e. the split and merge of interaction groups, can be seen as indicator of new activities. Our approach takes speech activity detection of individuals forming interaction groups as input. A classical HMM-based approach learning different HMM for the different group configurations did not produce promising results. We propose an approach for detecting interaction group configurations based on the assumption that conversational turn taking is synchronized inside groups. The proposed detector is based on one HMM constructed upon …"
10,A Bayesian network model for predicting insider threats,106,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:4OULZ7Gr8RgC,"This paper introduces a Bayesian network model for the motivation and psychology of the malicious insider. First, an initial model was developed based on results in the research literature, highlighting critical variables for the prediction of degree of interest in a potentially malicious insider. Second, a survey was conducted to measure these predictive variables in a common sample of normal participants. Third, a structural equation model was constructed based on the original model, updated based on a split-half sample of the empirical survey data and validated against the other half of the dataset. Fourth, the Bayesian network was adjusted in light of the results of the empirical analysis. Fifth, the updated model was used to develop an upper bound on the quality of model predictions of its own simulated data. When empirical data regarding psychological predictors were input to the model, predictions of …"
