Rank,Title,Citations,Year,URL,Description
1,Social justice-oriented interaction design: Outlining key design strategies and commitments,525,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:RYcK_YlVTxYC,"In recent years, many HCI designers have begun pursuing research agendas that address large scale social issues. These systemic or ""wicked"" problems present challenges for design practice due to their scope, scale, complexity, and political nature. In this paper, we develop a social justice orientation to designing for such challenges. We highlight a breadth of design strategies that target the goals of social justice along six dimensions -- transformation, recognition, reciprocity, enablement, distribution, and accountability -- and elaborate three commitments necessary to developing a social justice oriented design practice -- a commitment to conflict, a commitment to reflexivity, and a commitment to personal ethics and politics. Although there are no easy solutions to systemic social issues, a social justice orientation provides one way to foster an engagement with the thorny political issues that are increasingly …"
2,"Disclosure, stress, and support during gender transition on Facebook",295,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:YFjsv_pBGBYC,"Social computing technologies, such as social networking sites (SNSs), often privilege people who fit within expected, static categories. Thus, users embarking on major identity changes, such as gender transition, often encounter stress when using SNSs to interact with their online social networks. To address this problem and reflect on the design of SNSs and other social computing systems, we present the results of a comprehensive online survey of transgender and gender non-conforming SNS users. Our findings indicate that although Facebook can be a stressful place for gender transition due to difficulties of transition disclosure, support from one's Facebook network can help to mitigate some of this stress. We examine Facebook both as a site of stress and as a site of support. Better understanding the relationships between stress, disclosure, and support on SNSs for these particular users can inform technology …"
3,""" Will I always be not social?"" Re-Conceptualizing Sociality in the Context of a Minecraft Community for Autism",283,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:lSLTfruPkqcC,"Traditional face-to-face social interactions can be challenging for individuals with autism, leading some to perceive and categorize them as less social than their typically-developing peers. Individuals with autism may even see themselves as less social relative to their peers. Online communities can provide an alternative venue for social expression, enabling different types of communication beyond face-to-face, oral interaction. Using ethnographic methods, we studied the communication ecology that has emerged around a Minecraft server for children with autism and their allies. Our analysis shows how members of this community search for, practice, and define sociality through a variety of communication channels. These findings suggest an expansion in how sociality has traditionally been conceptualized for individuals with autism."
4,Digital footprints and changing networks during online identity transitions,181,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:J_g5lzvAfSwC,"Digital artifacts on social media can challenge individuals during identity transitions, particularly those who prefer to delete, separate from, or hide data that are representative of a past identity. This work investigates concerns and practices reported by transgender people who transitioned while active on Facebook. We analyze open-ended survey responses from 283 participants, highlighting types of data considered problematic when separating oneself from a past identity, and challenges and strategies people engage in when managing personal data in a networked environment. We find that people shape their digital footprints in two ways: by editing the self-presentational data that is representative of a prior identity, and by managing the configuration of people who have access to that self-presentation. We outline the challenging interplay between shifting identities, social networks, and the data that suture them …"
5,Stewarding a legacy: responsibilities and relationships in the management of post-mortem data,146,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:blknAaTinKkC,"This paper extends research on the giving and inheriting of digital artifacts by examining social network site accounts post-mortem. Given the important role that social network sites play in online bereavement practices, we conducted a series of in-depth qualitative interviews to explore issues around inheritance and post-mortem data management of Facebook accounts. We found that participants focused less on ownership of the data, and instead on the duties and potential conflicts associated with maintaining an account post-mortem. Subsequently, we argue for 'stewardship' as an alternative to inheritance for framing post-mortem data management practices. Analysis of post-mortem data management activities highlights how stewards are accountable and responsible to the deceased and various survivors. However, weighing competing responsibilities is complicated by varied relationships with disparate …"
6,Watch me code: Programming mentorship communities on twitch. tv,144,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:4OULZ7Gr8RgC,"Live streaming-an emerging practice of broadcasting video of oneself in real time to an online audience-is often used by people to portray themselves engaged in a craft such as programming. Viewers of these 'creative streams' gather to watch the streamer at work and to interact with the streamer and other audience members. However, little is known about how creative streamers engage with their audience, how their viewership communities form and operate, and how creative streams may support learning. In this study, we used a participant-observer method to study game development streams on the live streaming site Twitch.tv. We found that live streams support the growth of learning-focused communities that mentor both the streamer and each other during and after streams. We show the influence of streamers in creating a space for learning and motivating learners. Finally, we discuss implications for online …"
7,Worker-centered design: Expanding HCI methods for supporting labor,116,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:NhqRSupF_l8C,"HCI has long considered sites of workplace collaboration. From airline cockpits to distributed groupware systems, scholars emphasize the importance of supporting a multitude of tasks and creating technologies that integrate into collaborative work settings. More recent scholarship highlights a growing need to consider the concerns of workers within and beyond established workplace settings or roles of employment, from steelworkers whose jobs have been eliminated with post-industrial shifts in the economy to contractors performing the content moderation that shapes our social media experiences. This one-day workshop seeks to bring together a growing community of HCI scholars concerned with the labor upon which the future of work we envision relies. We will discuss existing methods for studying work that we find both productive and problematic, with the aim of understanding how we might better bridge …"
8,Low-wage precarious workers' sociotechnical practices working towards addressing wage theft,113,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:ldfaerwXgEUC,"Nearly 40 million workers in the USA, a third of the working population, are low-wage, meaning they make less than $11.65 per hour. These workers face the pervasive and detrimental challenge of wage violations, also known as wage theft, which is any illegal activity by an employer that denies benefits or wages to employees. We interviewed 24 low-wage workers who experienced wage theft and sought justice about their work practices, challenges, and information technology usage. Based on these interviews, we identify three key sociotechnical practices these workers engaged in to address their wage theft: 1) identifying wage and payment discrepancies; 2) tracking and documenting work; and 3) pursuing wage claims. Seeking to leverage HCI research to interrupt uneven social, economic, and information relations in the low-wage workplace, we ultimately reflect on the possibility and limits of several key …"
9,"Exploring social justice, design, and HCI",110,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:vV6vV6tmYwMC,"The aim of this one-day workshop is to share existing research, discuss common practices, and to develop new strategies and tools for designing for social justice in HCI. This workshop will bring together a set of HCI scholars, designers, and community members to discuss social justice perspectives on interaction design and technology. We will explore theoretical and methodological approaches in and around HCI that can help us generatively consider issues of power, privilege, and access in their complexity. We will discuss the challenges associated with taking a justice approach in HCI, looking toward existing practices we find both productive and problematic. This workshop will bridge current gaps in research and practice by developing concrete strategies for both designing and evaluating social change oriented work in HCI, where agendas are made clear and researchers are held accountable for the …"
10,The tools of management: Adapting historical union tactics to platform-mediated labor,85,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZCNrpS8AAAAJ&pagesize=50&citation_for_view=ZCNrpS8AAAAJ:_xSYboBqXhAC,"At the same time that workers' rights are generally declining in the United States (US), workplace computing systems gather more data about workers and their activities than ever before. The rise of large scale labor analytics raises questions about how and whether workers could use such data to advocate for their own goals. Here, we analyze the historical development of workplace technology design methods in CSCW to show how mid-20th century labor responses to scientific management can inform directions in contemporary digital labor advocacy. First, we demonstrate how specific methodological tendencies from industrial scientific management were adapted to work in CSCW, and then subsequently altered in crowd work and social computing research to more closely resemble industrial approaches. Next, we show how three tactics used by labor unions to strategically engage with industrial scientific …"
