Rank,Title,Citations,Year,URL,Description
1,"Myths, mis-and preconceptions of artificial intelligence: A review of the literature",209,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:a9-T7VOCCH8C,"Artificial Intelligence (AI) is prevalent in nearly every aspect of our lives. However, recent studies have found a significant amount of confusion and misunderstanding surrounding AI. To develop effective educational programs in the field of AI, it is vital to examine and understand learners' pre- and misconceptions as well as myths about AI. This study examined a corpus of 591 studies. 25 relevant studies were identified by applying the following eligibility criteria: English-written original empirical research on education and AI and reporting AI conceptions in a formal learning context. The review found studies from six continents, with the majority conducted in Europe and North America. The studies predominantly focus on the school and university levels. Findings reveal a range of preconceptions, misconceptions, and myths about AI, such as: Learners often have limited understanding of AI on a technical level. They …"
2,Mortality risk from United States coal electricity generation,113,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:4fGpz3EwCPoC,"Policy-makers seeking to limit the impact of coal electricity-generating units (EGUs, also known as power plants) on air quality and climate justify regulations by quantifying the health burden attributable to exposure from these sources. We defined “coal PM2.5” as fine particulate matter associated with coal EGU sulfur dioxide emissions and estimated annual exposure to coal PM2.5 from 480 EGUs in the US. We estimated the number of deaths attributable to coal PM2.5 from 1999 to 2020 using individual-level Medicare death records representing 650 million person-years. Exposure to coal PM2.5 was associated with 2.1 times greater mortality risk than exposure to PM2.5 from all sources. A total of 460,000 deaths were attributable to coal PM2.5, representing 25% of all PM2.5-related Medicare deaths before 2009 and 7% after 2012. Here, we quantify and visualize the contribution of individual EGUs to mortality."
3,Interpreting data from within: supporting humandata interaction in museum exhibits through perspective taking,73,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:u5HHmVD_uO8C,"As data rather than physical artifacts become more commonly the product of modern scientific endeavor, we must attend to humandata interactions as people reason about and with representations of data increasingly being presented in museum settings. Complex data sets can be impenetrable for novices, so the exhibit presented here was designed to give visitors control over a personalized ""slice"" of the data set as an entry point for exploration. Personalized control and collaboration can often be at odds in exhibits, however. This paper presents a study of two alternate approaches to designing an embodied interaction control for the exhibit that serves both needs. The results demonstrate that interaction design can affect children's perspective taking as they interact with a Census data map museum display, and that the perspective taken by individuals is correlated with their operation of the interactive exhibit and …"
4,Digital exhibit labels in museums: promoting visitor engagement with cultural artifacts,68,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:8AbLer7MMksC,"How can we use interactive displays in museums to help visitors appreciate authentic objects and artifacts that they can't otherwise touch or manipulate? This paper shares results from a design-based research study on the use of interactive displays to help visitors learn about artifacts in an exhibit on the history and culture of China. To explore the potential afforded by these displays, we unobtrusively video recorded 834 museum visitor groups who stopped in front of one collection of objects. Drawing on cognitive models of curiosity, we tested three redesigns of this display, each focusing on a different strategy to spark visitor curiosity, interest, and engagement. To understand the relative effectiveness of these designs, we analyzed visitor interaction and conversation. Our results uncovered significant differences across the conditions suggesting implications for the use of such technology in museums."
5,Examining spontaneous perspective taking and fluid self-to-data relationships in informal open-ended data exploration,62,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:uLbwQdceFCQC,"Engaging learners with complex unfamiliar datasets is a known challenge in Data Science education. One promising phenomenon investigated in related work is perspective-taking. A first-person “actor” perspective can help facilitate group and individual sensemaking by mediating observations and actions taken by learners. Here we investigate how museum visitors made use of an actor perspective when exploring an open-ended, interactive data map museum exhibit. We use a mix of qualitative and quantitative empirical methods to explore how actor perspective-taking (APT) may mediate joint sensemaking around data visualizations. By applying interpretive coding to 54 conversations wherein APT naturalistically emerged, we identify 3 distinct self-to-data relationships constructed via APT: role-play, projection, and orientation. A further analysis explores how APT was embedded in joint sensemaking of the …"
6,I see you there! Developing identity-preserving embodied interaction for museum exhibits,58,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:u-x6o8ySG0sC,"Museums are increasingly embracing technologies that provide highly-individualized and highly-interactive experiences to visitors. With embodied interaction experiences, increased localization accuracy supports greater nuance in interaction design, but there is usually a tradeoff between fast, accurate tracking and the ability to preserve the identity of users. Customization of experience relies on the ability to detect the identity of visitors, however. We present a method that combines fine-grained indoor tracking with robust preservation of the unique identities of multiple users. Our model merges input from an RFID reader with input from a commercial camera-based tracking system. We developed a probabilistic Bayesian model to infer at run-time the correct identification of the subjects in the camera's field of view. This method, tested in a lab and at a local museum, requires minimal modification to the exhibition …"
7,"The value of learning talk: applying a novel dialogue scoring method to inform interaction design in an open-ended, embodied museum exhibit",55,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:B3FOqHPlNUQC,"Museum researchers have long acknowledged the importance of dialogue in informal learning, particularly for open-ended exploratory exhibits. Novel interaction techniques like full-body interaction are appealing for these exploratory exhibits, but designers have not had a metric for determining how their designs are supporting productive learning talk. Moreover, with the incorporation of digital technologies into museums, researchers and designers now have the opportunity for in situ A/B testing of multiple exhibit designs not previously possible with traditionally constructed exhibits, which once installed were difficult and expensive to iterate. Here we present a method called Scoring Qualitative Informal Learning Dialogue (SQuILD) for quantifying idiosyncratic social learning talk, in order to conduct in situ testing of group learning at interactive exhibits. We demonstrate how the method was applied to a 2 × 2 …"
8,"Testing, socializing, exploring: Characterizing middle schoolers’ approaches to and conceptions of ChatGPT",43,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:HtEfBTGE9r8C,"As generative AI rapidly enters everyday life, educational interventions for teaching about AI need to cater to how young people, in particular middle schoolers who are at a critical age for reasoning skills and identity formation, conceptualize and interact with AI. We conducted nine focus groups with 24 middle school students to elicit their interests, conceptions of, and approaches to a popular generative AI tool, ChatGPT. We highlight a) personally and culturally-relevant topics to this population, b) three distinct approaches in students’ open-ended interactions with ChatGPT: AI testing-oriented, AI socializing-oriented, and content exploring-oriented, and 3) an improved understanding of youths’ conceptions and misconceptions of generative AI. While misconceptions highlight gaps in understanding what generative AI is and how it works, most learners show interest in learning about what AI is and what it can do. We …"
9,"AI literacy: Finding common threads between education, design, policy, and explainability",38,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:FPJr55Dyh1AC,"Fostering public AI literacy has been a growing area of interest at CHI for several years, and a substantial community is forming around issues such as teaching children how to build and program AI systems, designing learning experiences to broaden public understanding of AI, developing explainable AI systems, understanding how novices make sense of AI, and exploring the relationship between public policy, ethics, and AI literacy. Previous workshops related to AI literacy have been held at other conferences (e.g., SIGCSE, AAAI) that have been mostly focused on bringing together researchers and educators interested in AI education in K-12 classroom environments, an important subfield of this area. Our workshop seeks to cast a wider net that encompasses both HCI research related to introducing AI in K-12 education and also HCI research that is concerned with issues of AI literacy more broadly, including …"
10,Framed guessability: using embodied allegories to increase user agreement on gesture sets,34,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZRTiCX4AAAAJ&pagesize=50&citation_for_view=ZRTiCX4AAAAJ:d1gkVwhDpl0C,"Despite the wide availability of body-sensing technologies, the design of control gestures that feel natural and that can be intuitively ""guessed"" by the users is still an embodied interaction challenge. This is especially true for systems that require a set of complementary control gestures. Part of the problem lies in the separation between the locus of the interaction (the body) and the focus of the interaction (the screen). We extend Johnson's theory of Embodied Schemata with Embodied Allegories, in order to create a unifying context that spans across the locus and focus of interaction. We present results that demonstrate how this approach increases the chance that users select the same gesture or movement for producing an effect within the virtual context, and that the resultant gesture set is deemed more intuitive by users. We also present the accompanying methodology, ""Framed Guessability,"" which can increase …"
