Rank,Title,Citations,Year,URL,Description
1,Toward facilitating team formation and communication through avatar based interaction in desktop-based immersive virtual environments,32,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:ZHo1McVdvXMC,"Millions of students worldwide have adopted online learning due to the isolation restrictions imposed by the Covid-19 pandemic. In this context, video conferencing platforms have garnered immense popularity as tools for teaching. However, these tools have several limitations compared to real-world encounters, especially in activities involving collaboration and teamwork. A growing number of researchers and educators have turned to avatar-based communication platforms, such as Mozilla Hubs, as alternatives that can complement video conferencing in social and teaching activities. Several previous research efforts have focused on developing tools that implement avatar-based communication systems or have explored creating activities in these 3D virtual spaces, such as poster sessions in scientific conferences or the classroom environment. In this work, we describe our semester-long efforts to develop Mozilla Hubs rooms toward promoting interaction and communication to help students self-form teams in the context of an introductory virtual reality course at the University of Florida. We describe hands-on activities to prepare students to use Mozilla Hubs effectively, including teaching them skills to customize and create avatars. We describe the implementation of three virtual rooms developed based on researchers' observations and students' survey responses. By observing students' behavior and communication patterns in those rooms, we propose a set of guidelines for building virtual rooms that can promote communication, interaction, and teamwork. We discuss the rooms' design, students' attendance, and avatar choices. Our findings …"
2,Effects of virtual humans' gender and spoken accent on users' perceptions of expertise in mental wellness conversations,29,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:rO6llkc54NcC,"In the context of mental wellness support, trust and intimacy between a counselor and a patient are necessary to converge healing processes positively. However, convincing students to trust a virtual human for topics regarding mental wellness is a complex problem that requires understanding students' experiences. Based on research that discusses mental health as a concerning topic regarding Computer Science (CS) students, this paper investigates how undergraduate computing-related students perceive virtual humans' expertise on mental wellness support based on demographic resemblance on spoken accent and gender. Four virtual human counselors were developed to conduct the study, as 58 undergraduate computing-related students from two North American universities were recruited and assessed. Our findings suggest that students were less inclined to interact with a male virtual human than a …"
3,RoBlock-Web App for Programming Learning.,25,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:u5HHmVD_uO8C,"One of the major challenges related to teaching programming and algorithmics to amateur students is the time spent to explain a language’s syntax. Also, students who undertake computer programming may find problems that hinder their understanding of concepts and the development of their problem-solving and programming skills. This paper presents the results of an experimental approach that evaluated the interaction of a group of Colombian students with a Web solution within the context of Mobile Robotics to learn programming and algorithmics. The designed Web App is oriented towards autodidactic learning by using Visual Blocks Programming through five interactive modules that include concepts to be learned by students such as the following: variables, sensors, conditionals, cycles, and functions. The solution is designed to present virtual scenarios for Mobile Robotics. This proposal was evaluated with middle school students from the Colombian education system and was compared to the results obtained using Scratch as a reference tool."
4,"Participatory design of virtual humans for mental health support among North American computer science students: Voice, appearance, and the similarity-attraction effect",16,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:pyW8ca7W8N0C,"Virtual humans (VHs) have the potential to support mental wellness among college computer science (CS) students. However, designing effective VHs for counseling purposes requires a clear understanding of students’ demographics, backgrounds, and expectations. To this end, we conducted two user studies with 216 CS students from a major university in North America. In the first study, we explored how students co-designed VHs to support mental wellness conversations and found that the VHs’ demographics, appearance, and voice closely resembled the characteristics of their designers. In the second study, we investigated how the interplay between the VH’s appearance and voice impacted the agent’s effectiveness in promoting CS students’ intentions toward gratitude journaling. Our findings suggest that the active participation of CS students in VH design leads to the creation of agents that closely resemble …"
5,Exploring the effects of user-agent and user-designer similarity in virtual human design to promote mental health intentions for college students,15,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:xtRiw3GOFMkC,"Virtual humans (i.e., embodied conversational agents) have the potential to support college students’ mental health, particularly in Science, Technology, Engineering, and Mathematics (STEM) fields where students are at a heightened risk of mental disorders such as anxiety and depression. A comprehensive understanding of students, considering their cultural characteristics, experiences, and expectations, is crucial for creating timely and effective virtual human interventions. To this end, we conducted a user study with 481 computer science students from a major university in North America, exploring how they co-designed virtual humans to support mental health conversations for students similar to them. Our findings suggest that computer science students who engage in co-design processes of virtual humans tend to create agents that closely resemble them demographically—agent-designer demographic …"
6,Design and evaluation of a scaffolded block-based learning environment for hierarchical data structures,15,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:70eg2SAEIzsC,"This paper presents the design of Blocks4DS, a block-based environment for students to learn data structures. As a proof-of-concept, we designed custom blocks to allow students to build and visualize Binary Search Trees (BST). Blocks4DS is built on Blockly and uses vis.js to provide visualizations of the binary search tree and its operations. This paper describes the results from an initial evaluation of usability and student learning."
7,Effects of a block-based scaffolded tool on students’ introduction to hierarchical data structures,13,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:zA6iFVUQeVQC,"Contribution In this article, the authors present findings and insights on the efficacy of using an educational block-based programming (BBP) environment—Blocks4DS, to teach the binary search tree (BST). Background For a decade, BBP environments have been a hot topic in the computer science education (CSEd) community to promote interactive active learning of programming. However, little attention has been paid to BBP environments’ efficacy on nonintroductory courses like data structures and algorithms (DS&A). DS&A courses are challenging to students due to levels of abstraction that could be reduced by syntax-free features existing in BBP interfaces. Research Questions 1) Can undergraduate computing-major students learn about the BST using Blocks4DS? 2) Do undergraduate computing-major students understand better BSTs when learning with a BBP environment? and 3) How do undergraduate …"
8,The effects of native language on block-based programming introduction: A work in progress with hispanic population,13,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:ldfaerwXgEUC,"Computer Science (CS) is an English-centric discipline which still needs to explore how cultural factors such as learners' native language may impact the understanding of CS concepts. We evaluated adult participants with no prior coding experience performing tasks in a conventional block-based programming platform: Scratch. We collected data from these interactions and compared between Native-English speakers, and Hispanic speakers who knew English as a Second Language (ESL). Our findings suggest that learners” native language may not impact their ability to come to a proper solution, but it does affect how they interact with block-based environments, when their native language is inconsistent with the language featured in the tool. This pilot study invites the Computer Science Education (CS ED) community to explore how to effectively reach Hispanic and non-English speaking communities, impacting …"
9,Evaluating face gender cues in virtual humans within and beyond the gender binary,12,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:f2IySw72cVMC,"Introduction: Virtual human work regarding gender is widely based on binary gender despite recent understandings of gender extending beyond female and male. Additionally, gender stereotypes and biases may be present in virtual human design. Methods: This study evaluates how face gender cues are implemented in virtual humans by conducting an exploratory study where an undergraduate computing population (n = 67) designed three virtual human faces—female, male, and nonbinary. Results: Results showed that face gender cues were implemented in stereotypical ways to represent binary genders (female and male virtual humans). For nonbinary gender virtual humans, stereotypical face gender cues were expressed inconsistently (sometimes feminine, sometimes masculine), and conflicting gender cues (pairs of cues that signal opposing binary gender) occurred frequently. Finally, results revealed that not all face gender cues are leveraged equally to express gender. Discussion: Implications of these findings and future directions for inclusive and representative gender expression in virtual humans are discussed."
10,Using student-created instructional videos in CS upper-level courses: A successful strategy in a functional programming course,10,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Zo_QX1wAAAAJ&pagesize=50&citation_for_view=Zo_QX1wAAAAJ:2P1L_qKh6hAC,"In this paper we present findings on a pedagogical approach we designed to enhance students' understanding of Functional Programming, in which they were required to create two video-tutorials. The first video-tutorial assignment asked the students to develop explanations of Functional Programming concepts. The second video-tutorial required them to explain their solutions while completing coding exercises using Haskell. We present a detailed description of the activities, their evaluation, and their impact on students' learning, motivation, and performance. Our findings suggest that the use of a student-created video-tutorial approach can be effective for increasing students’ understanding, performance, and engagement on Functional Programming assessments. This suggests that using student-created video tutorials may be a promising strategy to implement in other computing courses."
