Rank,Title,Citations,Year,URL,Description
1,Educators and technology standards: Influencing the digital divide,198,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:zYLM7Y9cAGgC,"Recent literature suggests that teachers can take practical steps to diminish the gap in the Digital Divide. Some believe that standards-based curriculum will level the playing field for students and that the implementation of technology standards may facilitate this process. This article documents themes found in research regarding the Digital Divide from the perspective of school technology integration for children in the U.S. school systems: frequency of use, the differences in students’ educational technology experiences, and teacher professional development. Ideas about how the implementation of technology standards will decrease the gap in the Digital Divide are included."
2,Falling Behind: A Technology Crisis Facing Minority Students.,83,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:UeHWp8X0CEIC,"The digital divide is a commonly used term in today's society, but few truly understand the impact that it has on minority students. This issue is one that goes beyond access to technology, but encompasses issues of equity in use. This paper examines the data on home and school computer use by minority students. It discusses the College Reach-Out Program (CROP), a collaborative effort of 3 mid-Florida institutions of higher education; the CROP 2000 Technology Project, including some student feedback; and the Our Kids After-School Program at the Community Technology Center, Jacob Riis Neighborhood Settlement House, 2 programs which are giving minority at-risk students non-traditional experiences with technology. (Author/AEF)"
3,Bridging the digital divide: A building block for teachers,81,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:u-x6o8ySG0sC,"The Digital Divide problem is complex and lacks an easy solution. Simply put, the Digital Divide refers to a significant difference in the access to and equity of technology experience based on categories such as income, race, gender, location, or education. It is easy to have conversations about why there is a Digital Divide, the need for more funding, and the creation of ideal learning environments. What is problematic is finding practical and workable solutions for classroom teachers. Yet there are some beginning steps that all teachers can take.Exploring Digital Divide issues in the schools requires educators to examine the access students have to technology as well as the equity in the educational experiences students have with technology. The intent of this article is to provide educators with ideas and strategies to address equity and access issues of technology location and use, self-evaluation, teacher training, and resource availability in schools and classrooms."
4,Exploring the Digital Identity Divide: A Call for Attention to Computing Identity at HBCUs,9,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:Y0pCki6q_DkC,"The lack of diversity in computing professions has continuously persisted in the tech industry, with racial minorities experiencing less representation than broader marginalized groups. The issue of continuous under-representation for Black/African Americans is especially telling of a pressing digital divide issue. Members of this group comprise roughly 13% of the U.S. population, but disproportionately hold only 5% and 8% of computer engineering and computer science bachelor?s degrees. Studies suggest that computing culture and stereotypes associated with the discipline and its practitioners are among the varied contributors to sociocultural rifts between Black students and computing. This disconnect impacts students' computational and technological identities, which may result in these students deciding to ""disidentify"" with computing, and to pursue academic disciplines in which they experience higher self …"
5,Unpacking the Unique Role of Black Women Computer Science Educators,5,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:roLk4NBRz8UC,"In the United States (US), the value Black women bring to their classrooms is critical, yet research examining their experiences as computer science (CS) teachers has been underexplored. Using a theoretical framework grounded in Black feminist thought, this paper highlights the important role of this subgroup of the teaching population by illuminating the unique intersectional experiences and perspectives of four Black, women, high school, CS (BWHSCS) teachers in the southern US. We center the voices of BWHSCS teachers to better understand their unique experiences and assets as Black women, allowing us to examine the extent to which historical context and issues of race and gender inform their pedagogical practice."
6,The digital divide in schools: We can make a difference,5,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:9yKSN-GCB0IC,"Overcoming the issues surrounding the Digital Divide often appears to be insurmountable. However, in our recent examination of 28 research studies and reports we found the emphasis to frequently be on matters of access and not equity in the learning environment. The studies dealing primarily with access suggest the gap between socioeconomic groups is declining. Yet, access to computers does not provide equitable learning environments. Findings from the literature we examined indicated three primary areas that influence the digital divide in the school system. These areas are frequency of use, the computer experience of students, and technology training for teachers. The encouraging aspect of our review of the literature is that teacher educators can have a positive influence on these areas. We can make a difference in the digital divide in the school systems."
7,An Ethical Imperative: Increasing the Participation of Black Women in Computer Science Education Research,2,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:Se3iqnhoufwC,"Enhanced participation of Black women in CS education research is of ethical imperative, and empowering individuals who would otherwise not be able to fully engage in this community improves the quality of research and increases our national potential to solve real-world problems. We posit that the lack of participation of Black women in CS education research is not due to a lack of interest or expertise, but instead is another example of the continued marginalization of Black women that exists throughout our society. This panel of Black women scholars will share (1) their unique experiences and perspectives as Black women in the field of CS education, (2) the barriers Black women encounter in CS education research, and (3) existing and potential support mechanisms that enable Black women to more fully engage in the CS education research community."
8,Reaching Black Women Interested in Computing: The Importance of Organizational Ties,2,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:LkGwnXOMwfcC,"Although it is well known that Black women are underrepresented in computing, less is known about their pre-college experiences. We hypothesize that inequities at the K-12 level result in Black women's underrepresentation in computing, because Black women have accumulated less social capital and are less embedded in courses and organizations related to computing prior to college. This paper reports the initial findings from the first round of a survey designed to gather the pre-college computing experiences of Black women and their peers. Black women in our sample were less likely to report participating in formal computer science (CS) education in school, slightly more likely to report participation in outside-of-school computing programs, about equally as likely to pursue computing experiences independently, and more likely to have had no pre-college computing experiences at all. We found that Black …"
9,"Selfish girls: Perceived understanding of gender, race, and* class in discussions about technology with pre-adolescent, low-income, African American girls",2,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:d1gkVwhDpl0C,"This study explores the attitudes concerning race, gender, and class of eight preadolescent African American girls from the Queensbridge Public Houses. Over the course of two years, eight girls were challenged to think about the current standing of Black women in technical fields. Through discussions about technology, the girls' perceptions about race, gender, and class were thoroughly examined. Using the current frameworks of critical, Black feminist, and self-efficacy theories, connections were made between the views of these eight girls and the historical oppression of Black women at work."
10,Understanding the Experiences of Black Women in STEM: A Framework for Interruption,1,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=dYtRH80AAAAJ&pagesize=50&citation_for_view=dYtRH80AAAAJ:kNdYIx-mwKoC,"Enhanced participation of Black women in science, technology engineering and mathematics (STEM) is of ethical imperative, and empowering individuals who would otherwise not be able to fully engage in STEM increases our national potential to advance science and solve real-world problems. In this paper we share a conceptual framework that seeks to define the “interruptions” experienced by Black women in STEM as they navigate undergraduate STEM programs. Our framework, grounded in Black feminist epistemologies, is informed by two years of data collected from surveys, interviews, focus groups, reflective journals, and audio diaries of forty Black women undergraduates at three institutions of higher education. This framework illuminates the relationship between societal power structures, Black women’s STEM self-concept, and selected coping strategies. Although the framework was originally designed to understand how interruption impacts Black women in STEM, we believe it can be applied in other contexts and has the potential to serve as a guide in answering questions of persistence and retention."
