Rank,Title,Citations,Year,URL,Description
1,Explaining Explanations: An Overview of Interpretability of Machine Learning,4017,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:IjCSPb-OGe4C,"There has recently been a surge of work in explanatory artificial intelligence (XAI). This research area tackles the important problem that complex machines and algorithms often cannot provide insights into their behavior and thought processes. XAI allows users and parts of the internal system to be more transparent, providing explanations of their decisions in some level of detail. These explanations are important to ensure algorithmic fairness, identify potential bias/problems in the training data, and to ensure that the algorithms perform as expected. However, explanations produced by these systems is neither standardized nor systematically assessed. In an effort to create best practices and identify open challenges, we describe foundational concepts of explainability and show how they can be used to classify existing literature. We discuss why current approaches to explanatory methods especially for deep neural …"
2,Keys under doormats,354,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:u5HHmVD_uO8C,Mandating insecurity by requiring government access to all data and communications.
3,Going from Bad to Worse: From Internet Voting to Blockchain Voting,248,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:Y0pCki6q_DkC,"Voters are understandably concerned about election security. News reports of possible election interference by foreign powers, of unauthorized voting, of voter disenfranchisement, and of technological failures call into question the integrity of elections worldwide. This article examines the suggestions that “voting over the Internet” or “voting on the blockchain” would increase election security, and finds such claims to be wanting and misleading. While current election systems are far from perfect, Internet- and blockchain-based voting would greatly increase the risk of undetectable, nation-scale election failures. Online voting may seem appealing: voting from a computer or smartphone may seem convenient and accessible. However, studies have been inconclusive, showing that online voting may have little to no effect on turnout in practice, and it may even increase disenfranchisement. More importantly, given …"
4,"The Ballot is Busted Before the Blockchain: A Security Analysis of Voatz, the First Internet Voting Application Used in US Federal Elections",160,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:W7OEmFMy1HYC,"In the 2018 midterm elections, West Virginia became the first state in the US to allow select voters to cast their ballot on a mobile phone via a proprietary app called “Voatz.” Although there is no public formal description of Voatz’s security model, the company claims that election security and integrity are maintained through the use of a permissioned blockchain, biometrics, a mixnet, and hardware-backed key storage modules on the user’s device. In this work, we present the first public security analysis of Voatz, based on a reverse engineering of their Android application and the minimal available documentation of the system. We performed a cleanroom reimplementation of Voatz’s server and present an analysis of the election process as visible from the app itself. We find that Voatz has vulnerabilities that allow different kinds of adversaries to alter, stop, or expose a user’s vote, including a sidechannel attack in which a completely passive network adversary can potentially recover a user’s secret ballot. We additionally find that Voatz has a number of privacy issues stemming from their use of third party services for crucial app functionality. Our findings serve as a concrete illustration of the common wisdom against Internet voting, and of the importance of transparency to the legitimacy of elections. As a result of our work, one county in Washington has already aborted their use of Voatz in the 2020 primaries."
5,Security analysis of wearable fitness devices (fitbit),127,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:u-x6o8ySG0sC,"This report describes an analysis of the Fitbit Flex ecosystem. Our objectives are to describe (1) the data Fitbit collects from its users,(2) the data Fitbit provides to its users, and (3) methods of recovering data not made available to device owners. Our analysis covers four distinct attack vectors. First, we analyze the security and privacy properties of the Fitbit device itself. Next, we observe the Bluetooth traffic sent between the Fitbit device and a smartphone or personal computer during synchronization. Third, we analyze the security of the Fitbit Android app. Finally, we study the security properties of the network traffic between the Fitbit smartphone or computer application and the Fitbit web service. We provide evidence that Fitbit unnecessarily obtains information about nearby Flex devices under certain circumstances. We further show that Fitbit does not provide device owners with all of the data collected. In fact, we find evidence of per-minute activity data that is sent to the Fitbit web service but not provided to the owner. We also discovered that MAC addresses on Fitbit devices are never changed, enabling usercorrelation attacks. BTLE credentials are also exposed on the network during device pairing over TLS, which might be intercepted by MITM attacks. Finally, we demonstrate that actual user activity data is authenticated and not provided in plaintext on an end-to-end basis from the device to the Fitbit web service."
6,The PACT protocol specification,66,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:eQOLeE2rZwMC,The coronavirus pandemic motivates many (including us) to see how we can use our abilities for the good of humanity. What can we do to help shorten or diminish this crisis (and prevent future pandemics)?
7,KeyForge: Mitigating Email Breaches with Forward-Forgeable Signatures,32,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:zYLM7Y9cAGgC,"Email breaches are commonplace, and they expose a wealth of personal, business, and political data that may have devastating consequences. The current email system allows any attacker who gains access to your email to prove the authenticity of the stolen messages to third parties -- a property arising from a necessary anti-spam / anti-spoofing protocol called DKIM. This exacerbates the problem of email breaches by greatly increasing the potential for attackers to damage the users' reputation, blackmail them, or sell the stolen information to third parties. In this paper, we introduce ""non-attributable email"", which guarantees that a wide class of adversaries are unable to convince any third party of the authenticity of stolen emails. We formally define non-attributability, and present two practical system proposals -- KeyForge and TimeForge -- that provably achieve non-attributability while maintaining the important protection against spam and spoofing that is currently provided by DKIM. Moreover, we implement KeyForge and demonstrate that that scheme is practical, achieving competitive verification and signing speed while also requiring 42% less bandwidth per email than RSA2048."
8,Security Analysis of the Democracy Live Online Voting System,26,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:WF5omc3nYNoC,"Democracy Live’s OmniBallot platform is a web-based system for blank ballot delivery, ballot marking, and online voting. In early 2020, three states—Delaware, West Virginia, and New Jersey—announced that they would allow certain voters to cast votes online using OmniBallot, but, despite the well established risks of Internet voting, the system has never before undergone a public, independent security review. We reverse engineered the client-side portion of Omni-Ballot, as used in Delaware, in order to detail the system’s operation and analyze its security. We find that OmniBallot uses a simplistic approach to Internet voting that is vulnerable to vote manipulation by malware on the voter’s device and by insiders or other attackers who can compromise Democracy Live, Amazon, Google, or Cloudflare. In addition, Democracy Live, which had no privacy policy prior to our work, receives sensitive personally identifiable information—including the voter’s identity, ballot selections, and browser fingerprint—that could be used to target political ads or disinformation campaigns. Even when OmniBallot is used to mark ballots that will be printed and returned in the mail, the software sends the voter’s identity and ballot choices to Democracy Live, an unnecessary risk that jeopardizes the secret ballot. We recommend changes to make the platform safer for ballot delivery and marking. However, we conclude that using OmniBallot for electronic ballot return represents a severe risk to election security and could allow attackers to alter election results without detection. In response to our findings, Delaware and New Jersey halted their use of OmniBallot for online …"
9,You really shouldn't roll your own crypto: An empirical study of vulnerabilities in cryptographic libraries,23,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:LkGwnXOMwfcC,"The security of the Internet rests on a small number of open-source cryptographic libraries: a vulnerability in any one of them threatens to compromise a significant percentage of web traffic. Despite this potential for security impact, the characteristics and causes of vulnerabilities in cryptographic software are not well understood. In this work, we conduct the first comprehensive analysis of cryptographic libraries and the vulnerabilities affecting them. We collect data from the National Vulnerability Database, individual project repositories and mailing lists, and other relevant sources for eight widely used cryptographic libraries. Among our most interesting findings is that only 27.2% of vulnerabilities in cryptographic libraries are cryptographic issues while 37.2% of vulnerabilities are memory safety issues, indicating that systems-level bugs are a greater security concern than the actual cryptographic procedures. In our investigation of the causes of these vulnerabilities, we find evidence of a strong correlation between the complexity of these libraries and their (in)security, empirically demonstrating the potential risks of bloated cryptographic codebases. We further compare our findings with non-cryptographic systems, observing that these systems are, indeed, more complex than similar counterparts, and that this excess complexity appears to produce significantly more vulnerabilities in cryptographic libraries than in non-cryptographic software."
10,Cryptography in the wild: an empirical analysis of vulnerabilities in cryptographic libraries,18,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lHmMK_4AAAAJ&pagesize=50&citation_for_view=lHmMK_4AAAAJ:MXK_kJrjxJIC,"The security of the Internet and numerous other applications rests on a small number of open-source cryptographic libraries: A vulnerability in any one of them threatens to compromise a significant percentage of web traffic. Despite this potential for security impact, the characteristics and causes of vulnerabilities in cryptographic software are not well understood. In this work, we conduct the first systematic, longitudinal analysis of cryptographic libraries and the vulnerabilities they produce. We collect data from the National Vulnerability Database, individual project repositories and mailing lists, and other relevant sources for all widely used cryptographic libraries. In our investigation of the causes of these vulnerabilities, we find evidence of a correlation between the complexity of these libraries and their (in)security, empirically demonstrating the potential risks of bloated cryptographic codebases. Among our most …"
