Rank,Title,Citations,Year,URL,Description
1,"Design for usability: Process, skills, and tools",71,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:u-x6o8ySG0sC,"Usability is a system attribute that results when users can accomplish their tasks effectively, efficiently, and with a high level of satisfaction. A system with poor usability can result in long task times, high error counts, large support costs, long training times, and user dissatisfaction. Consequently, usability is of increasing importance in the marketplace. This paper explores the process, skills, and tools required for an organization to produce usable systems. User-centered design is a development process that identifies and ensures that end user needs are met through an iterative cycle of prototyping and evaluation. The paper discusses skills (human factors engineering and multimedia interaction designers) and tools (usability laboratories and design guidelines) that support a user-centered design process. The paper also identifies factors to consider when justifying the expenses associated with developing usable …"
2,Measures of human problem solving performance in fault diagnosis tasks,69,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:IjCSPb-OGe4C,"The literature relating to human performance in fault diagnosis tasks is reviewed with emphasis on measures of performance. Based on this review, 30 measures of ability, aptitude, cognitive style, and task performance are evaluated, using data from two experiments that involved diagnosing faults in both simulated and live equipment. Results based on correlation, regression, and factor analysis are presented that indicate only three unique dimensions of performance: errors, inefficiency, and time. In addition, cognitive style appears to be a reasonable predictor of performance. Ability, measured by standard precollege tests, is also a reasonable predictor when combined with measures of cognitive style."
3,On measuring the complexity of monitoring and controlling large-scale systems,68,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:hqOjcs7Dif8C,"The complexity of monitoring and controlling a large-scale system, such as a communication network, is considered. Relevant literature is reviewed, with emphasis on both behavioral and nonbehavioral approaches to measuring complexity. A simulated large-scale network is described that is used in an experiment to assess the effect of network redundancy and number of systems levels on human fault-diagnosis performance. Experimental data are also used to evaluate two time-varying measures of task complexity (using analysis of variance and time-series analysis). The first measure is dependent on the structure of the system; the second measure is dependent on the strategy of the person controlling the system. Results suggest that this distinction is appropriate. In addition, results emphasize the different implications that complexity can have for normal system operation and human failure diagnosis …"
4,Design in the HCI classroom: Setting a research agenda,66,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:3fE2CSJIrl8C,"Interaction design is playing an increasingly prominent role in computing research, while professional user experience roles expand. These forces drive the demand for more de- sign instruction in HCI classrooms. In this paper, we distill the popular approaches to teaching design to undergraduate and graduate students of HCI. Through a review of existing research on design pedagogy, an international survey of 61 HCI educators, and an analysis of popular textbooks, we ex- plore the prominent disciplinary perspectives that shape design education in the HCI classroom. We draw on our analyses to discuss the differences we see in forms of design taught, approaches to adapting design instruction in computing-based courses, and the tensions faced by instructors of these classes. We conclude by arguing for the importance of pedagogical research on design instruction as a vital and foundational area of inquiry in …"
5,Design of a human factors cost-justification tool,31,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:d1gkVwhDpl0C,"Human factors practitioners are often asked to justify their involvement in a project or to explain what the payback will be for performing a spe-cific method or piece of research. This chapter is about making the proc-ess of cost-justifying human factors support usable. The premise of this effort is that we must go beyond providing approaches, models, and methodologies for cost-justifying human factors support; we must provide tools to make these approaches useful and usable to the people who perform them. The chapter describes a user-centered approach to designing such a tool. The work is still in progress; in fact, our original thoughts regarding the content and form of the tool have been altered significantly as a result of interviews with primary potential users of the tool. Al-though research and issues in modeling cost justification are discussed, no substantially new techniques for modeling cost-justification data are presented. Rather, the intent is to focus on identifying requirements that users have for a tool that would support providing cost-justification data. The chapter proceeds as follows. First, we describe the nature of cognitive engineering (human factors) at NCR Corporation. This background is necessary to give the reader some context for the user-centered ap-proach that follows. Second, we discuss issues in building models for cost justification for human factors support. The discussion includes ap-"
6,Human performance in monitoring and controlling hierarchical large-scale systems,24,1984,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:W7OEmFMy1HYC,"Human performance in monitoring and controlling activities in a hierarchical large-scale network, such as a communications system, is considered. A scenario is described that is used in an experiment to examine three factors affecting humans functioning as network supervisor: cluster size (number of elements per display page), number of levels of pages in the hierarchy, and failure rate per element. It is indicated by the results that increasing cluster size improves performance, increasing number of levels degrades performance, and failure rate affects only subjects' strategies."
7,Development and evaluation of a model of human performance in a large-scale system,22,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:9yKSN-GCB0IC,"Human performance in monitoring and controlling a large-scale system, such as a communication network, is considered. A model of performance in monitoring and controlling a simulated large-scale system is proposed that explicitly incorporates three types of knowledge: system, contextual, and task knowledge. The first two types are represented by a set of rules. The model is further characterized by a fuzzy role prioritization scheme. The model compares favorably to human performance in an experimental validation.<>"
8,On handwriting recognition system performance: Some experimental results,22,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:eQOLeE2rZwMC,"Performance of a rule-based handwriting recognition system is considered. Performance limits of such systems are defined by the robustness of the character templates and the ability of the system to segment characters. Published performance figures, however, are typically based on pre-segmented characters. Six experiments are reported (using a total of 128 subjects) that tested a state-of-the-art recognition system under more realistic conditions. Variables investigated include display format (grid, lined, and blank), surface texture, feedback (location and time delay), amount of training, practice, and effects of use over an extended period. Results indicated that novice users writing on a lined display (the most preferred format) averaged 57% recognition performance. By giving subjects continuous feedback of results, training, and after about 10 minutes of use, the system averaged 90.6% character recognition …"
9,Measures of human performance in fault diagnosis tasks,10,1981,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:5nxA0vEk-isC,Description not available
10,On the development of user interface design guidelines for electronic commerce,7,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:qjMakFHDy7sC,"This paper contains a description of an approach to developing and delivering user interface design guidelines. The guidelines, embodying good user-interface design practice, can improve the usability of new systems and the efficiency of delivering a design and evaluation service. The methodology for developing the guidelines and the way they are delivered is applicable to many domains; the guidelines described here support an E-Commerce web site design and evaluation service. The guidelines span several levels of an interface design, including design of the information content required to support users' tasks, the way in which the site content is organized and navigated, as well as aesthetic and visual issues. Although some of the guidelines were drawn from the archival literature, the primary source was a study of 55 end users performing shopping tasks in four existing E-Commerce sites. Because the …"
11,The Master's Degree in HCI at 20: Issues and Trends,6,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:Zph67rFs4hoC,"Over the past 20 years, professional HCI programs at the Master's level have emerged and evolved at a number of universities, providing academic training to future HCI practitioners. Demand for these programs by students and demand for graduates by industry has increased considerably. In this SIG, representatives from such programs, current students, alumni, and representatives from hiring companies will discuss emerging trends, tools and technologies that will influence the future structure of these programs. Industry attendees will identify how current programs meet their needs and identify where gaps exist. Attendees will also consider ways to build a community of support for those involved in delivering HCI education at the Master's level."
12,The NCR human interface technology center,6,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:kNdYIx-mwKoC,"The NCR Human Interface Technology Center (HITC) exists to meet its customers' business needs through the application of new human-interface technologies. The HITC designs and develops these user-interface solutions through a user-centered design (UCD) process, in which user needs and expectations guide all design and development decisions. The HITC consists of about 90 engineers and scientists with expertise in such areas as cognitive engineering, graphic design, image understanding, artificial intelligence, intelligent tutoring, database mining, and new I/O technologies. Established in 1988, the HITC is funded by work performed for its customers."
