Rank,Title,Citations,Year,URL,Description
1,Sonification report: Status of the field and research agenda,825,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:u5HHmVD_uO8C,"Sonification is the use of nonspeech audio to convey information. The goal of this report is to provide the reader with (1) an understanding of the field of sonification,(2) an appreciation for the potential of sonification to answer a variety of scientific questions,(3) a grasp of the potential for sonification applications to facilitate communication and interpretation of data, and (4) specific ideas for productive support of sonification research."
2,Usability assessment of drone technology as safety inspection tools,431,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:R3hNpaxXUhUC,"The construction industry lags behind many others in the rate of adoption of cutting edge technologies. In the area of safety management this is more so. Many advances in information technology could provide great benefits to this important aspect of construction operations. Innovative use of these tools could result in safer jobsites. This paper discusses initial application of drone technology in the construction industry. In this study, a small-scale aerial drone was used as a tool for exploring potential benefits to safety managers within the construction jobsite. This drone is an aerial quadricopter that can be piloted remotely using a smart phone, tablet device or a computer. Since the drone is equipped with video cameras, it can provide safety managers with fast access to images as well as real time videos from a range of locations around the jobsite. An expert analysis (heuristic evaluation) as well as a user participation analysis were performed on said quadricopter to determine the features of an ideal safety inspection drone. The heuristic evaluation uncovered some of the user interface problems of the drone interface considering the context of the safety inspection. The user participation evaluation was performed following a simulated task of counting the number of hardhats viewed through the display of a mobile device in the controlled environment of the lab. Considering the task and the controlled variables, this experimental approach revealed that using the drone together with a large-size interface (eg iPad) would be as accurate as having the safety manager with plain view of the jobsite. The results of these two evaluations together with …"
3,Theory of sonification,357,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:YsMSGLbcyi4C,"Auditory displays can be broadly defined as any display that uses sound to communicate information. Sonifications are a subtype of auditory displays that use nonspeech audio to represent information. Kramer et al.(1999) further elaborated that “sonification is the transformation of data relations into perceived relations in an acoustic signal for the purposes of facilitating communication or interpretation.” Sonification, then, seeks to translate relationships in data into sound (s) that exploit the auditory perceptual abilities of human beings such that the data relationships are comprehensible. Sonification is a truly interdisciplinary approach to information display, and, as Kramer (1994) pointed out, a complete understanding of the field would require many lifetimes of expertise across many domains of knowledge. The theoretical underpinnings of research and design for sonification comes from such diverse fields as audio engineering, audiology, computer science, informatics, linguistics, mathematics, music, psychology, and telecommunications, to name but a few, and are as yet not characterized by a single grand or unifying set of principles or rules (see Edworthy, 1998). Rather, the guiding theory (or theories) of sonification in practice can be best characterized as an amalgam of important insights drawn from the convergence of these many diverse fields.The 1999 collaborative Sonification Report (Kramer et al., 1999) identified four issues that should be addressed in a theoretical description of sonification. These included:(1) taxonomic descriptions of sonification techniques based on psychological principles or display applications;(2) descriptions of …"
4,Spearcons (speech-based earcons) improve navigation performance in advanced auditory menus,346,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:u-x6o8ySG0sC,"ObjectiveThe goal of this project is to evaluate a new auditory cue, which the authors call spearcons, in comparison to other auditory cues with the aim of improving auditory menu navigation.BackgroundWith the shrinking displays of mobile devices and increasing technology use by visually impaired users, it becomes important to improve usability of non-graphical user interface (GUI) interfaces such as auditory menus. Using nonspeech sounds called auditory icons (i.e., representative real sounds of objects or events) or earcons (i.e., brief musical melody patterns) has been proposed to enhance menu navigation. To compensate for the weaknesses of traditional nonspeech auditory cues, the authors developed spearcons by speeding up a spoken phrase, even to the point where it is no longer recognized as speech.MethodThe authors conducted five empirical experiments. In Experiments 1 and 2, they measured …"
5,Swan: System for wearable audio navigation,326,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:d1gkVwhDpl0C,"Wearable computers can certainly support audio-only presentation of information; a visual interface need not be present for effective user interaction. A system for wearable audio navigation (SWAN) is being developed to serve as a navigation and orientation aid for persons temporarily or permanently visually impaired. SWAN is a wearable computer consisting of audio-only output and tactile input via a handheld interface. SWAN aids a user in safe pedestrian navigation and includes the ability for the user to author new GIS data relevant to their needs of wayfinding, obstacle avoidance, and situational awareness support. Emphasis is placed on representing pertinent data with non-speech sounds through a process of sonification. SWAN relies on a geographic information system (GIS) infrastructure for supporting geocoding and spatialization of data. Furthermore, SWAN utilizes novel tracking technology."
6,"Effects of specific emotions on subjective judgment, driving performance, and perceived workload",289,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:lSLTfruPkqcC,"The aim of this paper was to explore effects of specific emotions on subjective judgment, driving performance, and perceived workload. The traditional driving behavior research has focused on cognitive aspects such as attention, judgment, and decision making. Psychological findings have indicated that affective states also play a critical role in a user’s rational, functional, and intelligent behaviors. Most applied emotion research has concentrated on simple valence and arousal dimensions. However, recent findings have indicated that different emotions may have different impacts, even though they belong to the same valence or arousal. To identify more specific affective effects, seventy undergraduate participants drove in a vehicle simulator under three different road conditions, with one of the following induced affective states: anger, fear, happiness, or neutral. We measured their subjective judgment of driving …"
7,Mappings and metaphors in auditory displays: An experimental assessment,259,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:zYLM7Y9cAGgC,"Auditory displays are becoming more and more common, but there are still no general guidelines for mapping data dimensions (e.g., temperature) onto display dimensions (e.g., pitch). This paper presents experimental research on different mappings and metaphors, in a generic process-control task environment, with reaction time and accuracy as dependent measures. It is hoped that this area of investigation will lead to the development of mapping guidelines applicable to auditory displays in a wide range of task domains."
8,InfoSPOT: A mobile Augmented Reality method for accessing building information through a situation awareness approach,252,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:5nxA0vEk-isC,"The Architecture, Engineering, Construction, and Owner/Operator (AECO) industry is constantly searching for new methods for increasing efficiency and productivity. Facility Managers (FMs), as a part of the owner/operator role, work in complex and dynamic environments where critical decisions are constantly made. This decision-making process and its consequent performance can be improved by enhancing Situation Awareness (SA) of the FMs through new digital technologies. In this paper, InfoSPOT (Information Surveyed Point for Observation and Tracking), is recommended to FMs as a mobile Augmented Reality (AR) tool for accessing information about the facilities they maintain. AR has been considered as a viable option to reduce inefficiencies of data overload by providing FMs with a SA-based tool for visualizing their “real-world” environment with added interactive data. A prototype of the AR application …"
9,"Navigation performance with a virtual auditory display: Effects of beacon sound, capture radius, and practice",243,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:2osOgNQ5qMEC,"Objective We examined whether spatialized nonspeech beacons could guide navigation and how sound timbre, waypoint capture radius, and practice affect performance. Background Auditory displays may assist mobility and wayfinding for those with temporary or permanent visual impairment, but they remain understudied. Previous systems have used speech-based interfaces. Method Participants (108 undergraduates) navigated three maps, guided by one of three beacons (pink noise, sonar ping, or 1000-Hz pure tone) spatialized by a virtual reality engine. Dependent measures were efficiency of time and path length. Results Overall navigation was very successful, with significant effects of practice and capture radius, and interactions with beacon sound. Overshooting and subsequent hunting for waypoints was exacerbated for small radius conditions. A human-scale capture radius (1.5 m) and sonar-like beacon …"
10,Magnitude estimation of conceptual data dimensions for use in sonification.,234,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xY3zIEAAAAAJ&pagesize=50&citation_for_view=xY3zIEAAAAAJ:9yKSN-GCB0IC,"Sonifications must match listener expectancies about representing data with sound. Three experiments showed the utility of magnitude estimation for this. In Experiment 1, 67 undergraduates (mean age 19.3 yrs) judged the sizes of visual stimuli and the temperature, pressure, velocity, size, or dollars they represented. Similarly, in Experiment 2, 132 listeners (mean age 19.5 yrs) judged the pitch or tempo of sounds and the data they represented. In both experiments, polarity and scaling preference depended on the conceptual data dimension. In Experiment 3, 60 listeners (mean age 20.1 yrs) matched auditory graphs to data created with the results of Experiment 2, providing initial validation of scaling slopes. Magnitude estimation is proposed as a design tool in the development of data sonifications, with the level of polarity preference agreement predicting mapping effectiveness.(PsycInfo Database Record (c) 2025 …"
