Rank,Title,Citations,Year,URL,Description
1,Towards mutual theory of mind in human-ai interaction: How language reflects what students perceive about a virtual teaching assistant,233,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:70eg2SAEIzsC,"Building conversational agents that can conduct natural and prolonged conversations has been a major technical and design challenge, especially for community-facing conversational agents. We posit Mutual Theory of Mind as a theoretical framework to design for natural long-term human-AI interactions. From this perspective, we explore a community’s perception of a question-answering conversational agent through self-reported surveys and computational linguistic approach in the context of online education. We first examine long-term temporal changes in students’ perception of Jill Watson (JW), a virtual teaching assistant deployed in an online class discussion forum. We then explore the feasibility of inferring students’ perceptions of JW through linguistic features extracted from student-JW dialogues. We find that students’ perception of JW’s anthropomorphism and intelligence changed significantly over time …"
2,Designing and developing video lessons for online learning: A seven-principle model.,203,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:TQgYirikUcIC,"Despite the ubiquitous use of instructional videos in both formal and informal learning settings, questions remain largely unanswered on how to design and develop video lessons that are often used as the primary method for delivering instruction in online courses. In this study, we experimented with a model of seven principles drawn from instructional design theories for designing and developing video lessons for an online graduate course. Feedback was collected from students through surveys on their perceptions of the effectiveness of the video lessons and the overall course quality for eight semesters. This paper shares the instructors' experience on the design and development of the video lessons as well as the survey findings. Implications of the findings for instructional design and future research are also discussed."
3,Using AI to teach AI: Lessons from an online AI class,161,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:YOwf2qJgpHMC,"In fall 2014, we launched a foundational course in artificial intelligence (CS7637: Knowledge-Based AI) as part of the Georgia Institute of Technology's Online Master of Science in Computer Science program. We incorporated principles and practices from the cognitive and learning sciences into the development of the online AI course. We also integrated AI techniques into the instruction of the course, including embedding 100 highly focused intelligent tutoring agents in the video lessons. By now, more than 2000 students have taken the course. Evaluations have indicated that OMSCS students enjoy the course compared to traditional courses, and more importantly, that online students have matched residential students' performance on the same assessments. In this article, we present the design, delivery, and evaluation of the course, focusing on the use of AI for teaching AI. We also discuss lessons we learned for scaling the teaching and learning of AI."
4,Sentiment analysis of student evaluations of teaching,90,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:Wp0gIr-vW9MC,"We used a sentiment analysis tool, VADER (Valence Aware Dictionary and sEntiment Reasoner), to analyze Student Evaluations of Teaching (SET) of a single course from three different sources: official evaluations, forum comments from another course, and an unofficial “reviews” site maintained by students. We compared the positive and negative valences of these sites; identified frequently-used key words in SET comments and determined the impact on positivity/negativity of comments that included them; and determined positive/negative values by question on the official course SET comments. Many universities use similar questions, which may make this research useful for those analyzing comments at other institutions. Previous published studies of sentiment analysis in SET settings are rare."
5,Scaling expert feedback: Two case studies,56,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:Zph67rFs4hoC,"Traditionally, education relies on a linear relationship between enrollment and staff; rising enrollment dictates increases to staff with some expertise (such as teaching assistants, TAs) for evaluation. This relationship is expensive, so learning at scale has largely deemphasized expert evaluation and feedback. Two organizations, though, have used different models to scale up class size online while retaining this expert evaluation and feedback. In this paper, we analyze the methods these two organizations have used to increase enrollment while preserving scalability and feedback. We observe an academic program has scaled feedback with traditional TAs by relying on unique characteristics of its student body, while a commercial program has done so with a novel, network-based model. These successes show the potential of learning from experts at scale."
6,Challenges of online learning in Nigeria,53,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:RGFaLdJalmkC,"Education has traditionally been administered via physical interactions between teachers and students in classrooms. Through technological advancement in communications and digital devices, online education has been developed with the potential to scale education, making it affordable and accessible. With an internet connection and a laptop or mobile phone, learners can access massive open online courses (MOOCs) for free. Nonetheless, the opportunity to scale education and the advantages of online learning are not always fulfilled due to certain challenges. In this work, Socioeconomic, Sociocultural, and IT infrastructural factors are categorized as challenges hindering the adoption of online learning in Nigeria. Although some factors mitigating online learning have been identified in the past, there is relatively little empirical evidence indicating the reality and severity of these challenges. Since scaling …"
7,Jill Watson SA: Design and evaluation of a virtual agent to build communities among online learners,53,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:k_IJM867U9cC,"Despite being accessible and affordable, online education presents numerous challenges for online learners due to the absence of face-to-face interactions. Lack of community-belongingness, in particular, negatively impacts online learners' learning outcomes and learning experience. To help online learners build communities and foster connections with their peers, we designed and deployed Jill Watson SA (stands for Social Agent). Jill Watson SA is a virtual agent who can match students with shared identity, defined by similarities in location, timezone, hobby, class schedule, etc., on the Piazza class discussion forum. We implemented Jill Watson SA in two online classes and conducted three short surveys with online students to evaluate Jill Watson SA."
8,Collaboration versus cheating: Reducing code plagiarism in an online MS computer science program,51,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:IWHjjKOFINEC,"We outline how we detected programming plagiarism in an introductory online course for a master's of science in computer science program, how we achieved a statistically significant reduction in programming plagiarism by combining a clear explanation of university and class policy on academic honesty reinforced with a short but formal assessment, and how we evaluated plagiarism rates before and after implementing our policy and assessment."
9,"On the necessity (or lack thereof) of digital proctoring: Drawbacks, perceptions, and alternatives",44,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:yD5IFk8b50cC,"Background It is important for institutions of higher education to maintain academic integrity, both for students and the institutions themselves. Proctoring is one way of accomplishing this, and with the increasing popularity of online courses—along with the sudden shift to online education sparked by the COVID‐19 pandemic—digital proctoring has seen an increase in use. However, there are privacy and bias concerns related to digital proctoring, so it is important to critically examine its role in higher education—when it should and should not be used, and how it is perceived among those who interact with it. Objectives In this paper, we: examine the features of and concerns about digital proctoring; analyse the results of a survey regarding student and teaching assistant (TA) attitudes towards digital proctoring; and present alternatives to digital proctoring and a framework for evaluating the need for a digital …"
10,The synchronicity paradox in online education,44,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yaCigtkAAAAJ&pagesize=50&citation_for_view=yaCigtkAAAAJ:NMxIlDl6LWMC,"As online education proliferates, one concern that has been raised is that it may fail to capture desirable emergent phe-nomena from on-campus programs. Student community is one example of such a phenomenon: on-campus student communities thrive based on synchronous collocation. An online program might be designed to capture all deliberate constructs in an on-campus program, but there may be beneficial side effects of synchronous collocation that are not apparent. In this work, we examine the issue of social isolation in an online graduate program. By happenstance, three studies were conducted in relative isolation looking at social isolation from different angles. The first study exam-ined trajectories in social presence as a semester proceeded. The second study developed an understanding of students' needs with regard to community in an online program. The third study tested out an immersive …"
