Rank,Title,Citations,Year,URL,Description
1,Synthetic lies: Understanding ai-generated misinformation and evaluating algorithmic and human solutions,485,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:17ZO-CJnx_8C,"Large language models have abilities in creating high-volume human-like texts and can be used to generate persuasive misinformation. However, the risks remain under-explored. To address the gap, this work first examined characteristics of AI-generated misinformation (AI-misinfo) compared with human creations, and then evaluated the applicability of existing solutions. We compiled human-created COVID-19 misinformation and abstracted it into narrative prompts for a language model to output AI-misinfo. We found significant linguistic differences within human-AI pairs, and patterns of AI-misinfo in enhancing details, communicating uncertainties, drawing conclusions, and simulating personal tones. While existing models remained capable of classifying AI-misinfo, a significant performance drop compared to human-misinfo was observed. Results suggested that existing information assessment guidelines had …"
2,Celebratory technology: new directions for food research in HCI,375,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:9yKSN-GCB0IC,"Food is a central part of our lives. Fundamentally, we need food to survive. Socially, food is something that brings people together-individuals interact through and around it. Culturally, food practices reflect our ethnicities and nationalities. Given the importance of food in our daily lives, it is important to understand what role technology currently plays and the roles it can be imagined to play in the future. In this paper we describe the existing and potential design space for HCI in the area of human-food interaction. We present ideas for future work on designing technologies in the area of human-food interaction that celebrate the positive interactions that people have with food as they eat and prepare foods in their everyday lives."
3,Designing and evaluating mHealth interventions for vulnerable populations: A systematic review,241,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:Kqc1aDSOPooC,"Diverse disciplines, including Human-Computer Interaction have explored how mobile health (mHealth) applications can transform healthcare and health promotion. Increasingly, research has explored how mHealth tools can promote healthy behaviors within vulnerable populations-groups that disproportionately experience barriers to wellness. We conducted a systematic review of 83 papers from diverse disciplines to characterize the design and impact of mHealth tools in low-socioeconomic (low-SES) and racial/ethnic minority individuals. Our findings highlight that the diversity within low-SES and racial/ethnic minority groups was not reflected in the populations studied. Most studies focused on improving the health of individuals, often neglecting factors at the community and society levels that influence health disparities. Moreover, few improvements in health outcomes were demonstrated. We further discuss …"
4,EatWell: sharing nutrition-related memories in a low-income community,226,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:2osOgNQ5qMEC,"Low-income African American communities face a disproportionate amount of diet-related health problems in the United States. To address this issue, we developed EatWell, a system that allows people to use their cell phones to create voice memories describing how they have tried to eat healthfully in their neighborhoods (e.g., at local restaurants) and listen to the memories that others have created. In this paper, we describe the results of our field trial of EatWell, specifically characterizing how our participants were able to craft stories that were both emotive and culturally-relevant, the challenges that arose in creating these memories and finally how sharing these stories facilitated a sense of community empowerment. We conclude by presenting implications for the design of future applications that facilitate the sharing of health-related experiences."
5,Let's play! Mobile health games for adults,219,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:W7OEmFMy1HYC,"Researchers have designed a variety of systems that promote wellness. However, little work has been done to examine how casual mobile games can help adults learn how to live healthfully. To explore this design space, we created OrderUP!, a game in which players learn how to make healthier meal choices. Through our field study, we found that playing OrderUP! helped participants engage in four processes of change identified by a well-established health behavior theory, the Transtheoretical Model: they improved their understanding of how to eat healthfully and engaged in nutrition-related analytical thinking, reevaluated the healthiness of their real life habits, formed helping relationships by discussing nutrition with others and started replacing unhealthy meals with more nutritious foods. Our research shows the promise of using casual mobile games to encourage adults to live healthier lifestyles."
6,Reclaiming stigmatized narratives: The networked disclosure landscape of# MeToo,162,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:RfUwGJFMQ-0C,"The social stigma looming over disclosures of sexual violence discourages many women from publicly sharing their stories, limiting their ability to seek support and obscuring the epidemic of sexual violence against women. By inviting women to share their ordinarily silenced stories, the hashtag #MeToo surfaced a network of survivors to confront this stigma. Through a mixed-methods analysis of over 1.8 million tweets posted during the first two weeks after #MeToo gained widespread popularity in 2017, we map the landscape of disclosures that emerged and disentangle the effects of network-level reciprocal disclosures, or disclosures made in reaction to seeing others disclose. We detail how survivors disclosed a diversity of sexual violence experiences in solidarity with others, composing nearly half of all authored tweets and comprising a disproportionate number of interactions within the #MeToo network. Further …"
7,The impact of COVID-19 among Black women: evaluating perspectives and sources of information,143,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:w2UhwfzvF0QC,"ObjectivesCoronavirus disease 2019 (COVID-19) has burgeoned into a pandemic that highlights the countless social and health disparities that have existed in Black communities within the United States for centuries. Recent epidemiological data show that Black communities are being disproportionately impacted by COVID-19, resulting in higher morbidity and mortality rates compared to other racial and ethnic groups. For Black women in particular, a long-standing history of systemic racism and marginalization has resulted in increased vulnerability and susceptibility to certain adverse health outcomes. Recent data show that COVID-19 knowledge rates among Black participants are low, and that Black women who become infected with COVID-19 have higher risks of complications and mortality compared to their non-Black counterparts. Given this data, there is a need to explore where and how Black women are …"
8,Health promotion as activism: building community capacity to effect social change,124,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:3fE2CSJIrl8C,"As HCI researchers have designed tools to promote wellness, disease has often been approached as a general problem. In contrast, public health research argues for an activist approach focused on how certain groups disproportionately experience disease and eliminating these disparities. Taking this activist stance, we examine how technology can reduce health inequalities by disrupting power relationships and helping communities pursue social change. We discuss our tool, Community Mosaic (CM), which allows individuals to share their healthy eating ideas with one another as a means of advocating behavior change. Our results characterize how CM helped facilitate activism (i.e., collective efforts to counter local challenges to healthy living) and shift users' attitudes regarding their role as advocates for health. We contribute to the field of HCI by using our findings to present a set of recommendations for future …"
9,Mapping the landscape of COVID-19 crisis visualizations,121,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:u3T1itk59dMC,"In response to COVID-19, a vast number of visualizations have been created to communicate information to the public. Information exposure in a public health crisis can impact people’s attitudes towards and responses to the crisis and risks, and ultimately the trajectory of a pandemic. As such, there is a need for work that documents, organizes, and investigates what COVID-19 visualizations have been presented to the public. We address this gap through an analysis of 668 COVID-19 visualizations. We present our findings through a conceptual framework derived from our analysis, that examines who, (uses) what data, (to communicate) what messages, in what form, under what circumstances in the context of COVID-19 crisis visualizations. We provide a set of factors to be considered within each component of the framework. We conclude with directions for future crisis visualization research."
10,Toward technologies that support family reflections on health,120,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zh8E4voAAAAJ&pagesize=50&citation_for_view=zh8E4voAAAAJ:Tyk-4Ss8FVUC,"Previous research has explored how technology can motivate healthy living in social groups such as friends and coworkers. However, little research has focused on the implications of collecting, sharing, and reflecting upon health information within families. To explore this domain, we conducted a study that consisted of a week-long journaling activity followed by semi-structured interviews and formative design activities with 15 families (66 people). We identified four areas in which these practices are unique in a family context. Based on these findings we propose preliminary considerations for technologies that effectively support family reflections on health data."
