Rank,Title,Citations,Year,URL,Description
1,Progprompt: Generating situated robot task plans using large language models,1404,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:prdVHNxh-e8C,"Task planning can require defining myriad domain knowledge about the world in which a robot needs to act. To ameliorate that effort, large language models (LLMs) can be used to score potential next actions during task planning, and even generate action sequences directly, given an instruction in natural language with no additional domain information. However, such methods either require enumerating all possible next steps for scoring, or generate free-form text that may contain actions not possible on a given robot in its current context. We present a programmatic LLM prompt structure that enables plan generation functional across situated environments, robot capabilities, and tasks. Our key insight is to prompt the LLM with program-like specifications of the available actions and objects in an environment, as well as with example programs that can be executed. We make concrete recommendations about prompt structure and generation constraints through ablation experiments, demonstrate state of the art success rates in VirtualHome household tasks, and deploy our method on a physical robot arm for tabletop tasks. Website at progprompt.github.io"
2,Open X-Embodiment: Robotic learning datasets and RT-X models,1284,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:1DsIQWDZLl8C,Description not available
3,Making sense of vision and touch: Self-supervised learning of multimodal representations for contact-rich tasks,512,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:1yWc8FF-_SYC,"Contact-rich manipulation tasks in unstructured environments often require both haptic and visual feedback. However, it is non-trivial to manually design a robot controller that combines modalities with very different characteristics. While deep reinforcement learning has shown success in learning control policies for high-dimensional inputs, these algorithms are generally intractable to deploy on real robots due to sample complexity. We use self-supervision to learn a compact and multimodal representation of our sensory inputs, which can then be used to improve the sample efficiency of our policy learning. We evaluate our method on a peg insertion task, generalizing over different geometry, configurations, and clearances, while being robust to external perturbations. We present results in simulation and on a real robot."
4,ORBIT: A unified simulation framework for interactive robot learning environments,486,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:kVjdVfd2voEC,"We present Orbit, a unified and modular framework for robot learning powered by Nvidia Isaac Sim. It offers a modular design to easily and efficiently create robotic environments with photo-realistic scenes and high-fidelity rigid and deformable body simulation. With Orbit, we provide a suite of benchmark tasks of varying difficulty– from single-stage cabinet opening and cloth folding to multi-stage tasks such as room reorganization. To support working with diverse observations and action spaces, we include fixed-arm and mobile manipulators with different physically-based sensors and motion generators. Orbit allows training reinforcement learning policies and collecting large demonstration datasets from hand-crafted or expert solutions in a matter of minutes by leveraging GPU-based parallelization. In summary, we offer an open-sourced framework that readily comes with 16 robotic platforms, 4 sensor modalities …"
5,RoboTurk: A crowdsourcing platform for robotic skill learning through imitation,412,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:fEOibwPWpKIC,"Imitation Learning has empowered recent advances in learning robotic manipulation tasks by addressing shortcomings of Reinforcement Learning such as exploration and reward specification. However, research in this area has been limited to modest-sized datasets due to the difficulty of collecting large quantities of task demonstrations through existing mechanisms. This work introduces ROBO-TURK to address this challenge. ROBOTURK is a crowdsourcing platform for high quality 6-DoF trajectory based teleoperation through the use of widely available mobile devices (eg iPhone). We evaluate ROBOTURK on three manipulation tasks of varying timescales (15-120s) and observe that our user interface is statistically similar to special purpose hardware such as virtual reality controllers in terms of task completion times. Furthermore, we observe that poor network conditions, such as low bandwidth and high delay links, do not substantially affect the remote users’ ability to perform task demonstrations successfully on ROBOTURK. Lastly, we demonstrate the efficacy of ROBOTURK through the collection of a pilot dataset; using ROBOTURK, we collected 137.5 hours of manipulation data from remote workers, amounting to over 2200 successful task demonstrations in 22 hours of total system usage. We show that the data obtained through ROBOTURK enables policy learning on multi-step manipulation tasks with sparse rewards and that using larger quantities of demonstrations during policy learning provides benefits in terms of both learning consistency and final performance. For additional results, videos, and to download our pilot dataset, visit …"
6,Making sense of vision and touch: Learning multimodal representations for contact-rich tasks,333,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:rTD5ala9j4wC,"Contact-rich manipulation tasks in unstructured environments often require both haptic and visual feedback. It is nontrivial to manually design a robot controller that combines these modalities, which have very different characteristics. While deep reinforcement learning has shown success in learning control policies for high-dimensional inputs, these algorithms are generally intractable to train directly on real robots due to sample complexity. In this article, we use self-supervision to learn a compact and multimodal representation of our sensory inputs, which can then be used to improve the sample efficiency of our policy learning. Evaluating our method on a peg insertion task, we show that it generalizes over varying geometries, configurations, and clearances, while being robust to external perturbations. We also systematically study different self-supervised learning objectives and representation learning …"
7,X-Pool: Cross-Modal Language-Video Attention for Text-Video Retrieval,302,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:AHdEip9mkN0C,"In text-video retrieval, the objective is to learn a cross-modal similarity function between a text and a video that ranks relevant text-video pairs higher than irrelevant pairs. However, videos inherently express a much wider gamut of information than texts. Instead, texts often capture sub-regions of entire videos and are most semantically similar to certain frames within videos. Therefore, for a given text, a retrieval model should focus on the text's most semantically similar video sub-regions to make a more relevant comparison. Yet, most existing works aggregate entire videos without directly considering text. Common text-agnostic aggregations schemes include mean-pooling or self-attention over the frames, but these are likely to encode misleading visual information not described in the given text. To address this, we propose a cross-modal attention model called X-Pool that reasons between a text and the frames of a …"
8,Learning task-oriented grasping for tool manipulation from simulated self-supervision,298,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:Ug5p-4gJ2f0C,"Tool manipulation is vital for facilitating robots to complete challenging task goals. It requires reasoning about the desired effect of the task and, thus, properly grasping and manipulating the tool to achieve the task. Most work in robotics has focused on task-agnostic grasping, which optimizes for only grasp robustness without considering the subsequent manipulation tasks. In this article, we propose the Task-Oriented Grasping Network (TOG-Net) to jointly optimize both task-oriented grasping of a tool and the manipulation policy for that tool. The training process of the model is based on large-scale simulated self-supervision with procedurally generated tool objects. We perform both simulated and real-world experiments on two tool-based manipulation tasks: sweeping and hammering. Our model achieves overall 71.1% task success rate for sweeping and 80.0% task success rate for hammering."
9,Neural task programming: Learning to generalize across hierarchical tasks,269,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:UHK10RUVsp4C,"In this work, we propose a novel robot learning framework called Neural Task Programming (NTP), which bridges the idea of few-shot learning from demonstration and neural program induction. NTP takes as input a task specification (e.g., video demonstration of a task) and recursively decomposes it into finer sub-task specifications. These specifications are fed to a hierarchical neural program, where bottom-level programs are callable subroutines that interact with the environment. We validate our method in three robot manipulation tasks. NTP achieves strong generalization across sequential tasks that exhibit hierarchal and compositional structures. The experimental results show that NTP learns to generalize well towards unseen tasks with increasing lengths, variable topologies, and changing objectives.stanfordvl.github.io/ntp/."
10,Variable Impedance Control in End-Effector Space: An Action Space for Reinforcement Learning in Contact-Rich Tasks,268,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zp8V7ZMAAAAJ&pagesize=50&citation_for_view=zp8V7ZMAAAAJ:nrtMV_XWKgEC,"Reinforcement Learning (RL) of contact-rich manipulation tasks has yielded impressive results in recent years. While many studies in RL focus on varying the observation space or reward model, few efforts focused on the choice of action space (e.g. joint or end-effector space, position, velocity, etc.). However, studies in robot motion control indicate that choosing an action space that conforms to the characteristics of the task can simplify exploration and improve robustness to disturbances. This paper studies the effect of different action spaces in deep RL and advocates for variable impedance control in end-effector space (VICES) as an advantageous action space for constrained and contact-rich tasks. We evaluate multiple action spaces on three prototypical manipulation tasks: Path Following (task with no contact), Door Opening (task with kinematic constraints), and Surface Wiping (task with continuous contact …"
