researcher_name,profile_url,google_scholar_id,affiliation,researcher_total_citations,researcher_keywords,researcher_homepage,paper_title,paper_citations,paper_year,paper_url,paper_abstract
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,"Goodbye Text, Hello Emoji: Mobile Communication on WeChat in China",277,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:mB3voiENLucC,"We present a qualitative study of mobile communication via WeChat in Southern China, focusing on the rapid proliferation of emoji and stickers and the lessening dependence on text. We use interview and observation data from 30 participants to investigate how rural, small town, and urban Chinese adults creatively and innovatively balance the use of emoji, stickers, and text in their mobile communication practices. We also discuss design implications of our research for the field of HCI, offering ways of leveraging the non-textual communication practices that we uncover, in scenarios where purely text-based communication may not suffice."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,The ins and outs of HCI for development,262,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:hC7cP41nSMkC,"We present an empirical analysis of HCI for development (HCI4D), a growing research area aimed at understanding and designing technologies for under-served, under-resourced, and under-represented populations around the world. We first present findings from our survey of 259 HCI4D publications from the past six years and summarize how this research has evolved, with an overview of the geographies it covers, technologies it targets, and its varied epistemological and methodological underpinnings. We then discuss qualitative findings from interviews we conducted with 11 experienced HCI4D researchers, reflecting on the ground covered so far Including computing and research trends, community-building efforts, and thoughts about 'development' - as well as challenges that lie ahead and suggestions for future growth and diversification. We conclude by summarizing the contributions our paper makes to …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Mobile phones for maternal health in rural India,190,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:mVmsd5A6BfQC,"We present our findings from a mixed methods study of mobile phone practices of rural Indian women. We situate our study in the context of Projecting Health, a public health initiative we deployed in Uttar Pradesh (India) to target the dissemination of health information for mothers and newborns. Adopting the lens of feminist reflexivity, we reconsider our design of Projecting Health by factoring in the mobile media consumption and sharing practices of our target audience. We stress the importance of taking a community-oriented approach and show that although there are strict social conventions and patriarchal norms that constrain various practices of these women, they are able to exercise agency and mobilize help within their communities when needed."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Projecting health: community-led video education for maternal health,136,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:L8Ckcad2t8MC,"We present a qualitative study of Projecting Health, a public health project we deployed in rural Uttar Pradesh (India) to address persistently high maternal and infant mortality rates. This project is based on our model of Community-led Video Education (CVE), which leverages community resources for the generation, dissemination, and assimilation of visual media. We use the lens of information flows to examine how our instantiation of CVE enables the translation of globally approved health care norms to local household practices. We also demonstrate how CVE allows for integration with current community practices, existing state-supported health care infrastructure, social and patriarchal structures, and power dynamics within our target populations to drive community participation."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Facebook for self-empowerment? A study of Facebook adoption in urban India,134,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:Wp0gIr-vW9MC,"This article presents an ethnographic study of the adoption and use of Facebook among urban Indian youth from socioeconomically disadvantaged communities. Mobile-centric use of the Internet is widely prevalent here as general packet radio service (GPRS)-enabled mobile phones and data plans have become increasingly affordable. Less privileged youth are the lead adopters of these new technologies, and typically the first generation of Internet users, in their communities. My research uncovers their leisure-driven engagement with new media, seen through the lens of Facebook use, and the development-friendly outcomes that result from it. By examining the direct and indirect affordances of Facebook perceived by these youth, this article highlights how they swiftly negotiate social boundaries and technological hurdles, transitioning into legitimate members of a global community."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Women's Safety in Public Spaces: Examining the Efficacy of Panic Buttons in New Delhi,123,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:_Qo2XoVZTnwC,"We present a qualitative inquiry through the lens of feminist Human-Computer Interaction (HCI) into women's perceptions of personal safety in New Delhi, India. Since a brutal gang-rape incident took place in Delhi in December 2012 and received global attention, women's safety has been the focus of much attention India-wide. In April 2016, the Indian government issued a mandate that all mobile phones sold in India 2017 onwards must include a panic button for women's safety. We draw on interview and survey data to examine women's responses to the mandate, also investigating what factors influence their perceptions of safety, positively and negatively. Our findings indicate that women's sense of safety may be deconstructed into a multitude of factors--personal, public, social, technological--that must align for this sense of safety to be preserved. We then discuss the implications these factors have for the …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,From treatment to healing: envisioning a decolonial digital mental health,122,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:eMMeJKvmdy0C,"The field of digital mental health is making strides in the application of technology to broaden access to care. We critically examine how these technology-mediated forms of care might amplify historical injustices, and erase minoritized experiences and expressions of mental distress and illness. We draw on decolonial thought and critiques of identity-based algorithmic bias to analyze the underlying power relations impacting digital mental health technologies today, and envision new pathways towards a decolonial digital mental health. We argue that a decolonial digital mental health is one that centers lived experience over rigid classification, is conscious of structural factors that influence mental wellbeing, and is fundamentally designed to deter the creation of power differentials that prevent people from having agency over their care. Stemming from this vision, we make recommendations for how researchers and …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Post-growth Human–Computer Interaction,121,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:uLbwQdceFCQC,"Human–Computer Interaction (HCI) researchers have increasingly been questioning computing’s engagement with unsustainable and unjust economic growth, pushing for identifying alternatives. Incorporating degrowth, post-development, and steady-state approaches, post-growth philosophy offers an alternative not rooted in growth but in improving quality of life. It recommends an equitable reduction in resource use through sensible distributive practices where fulfillment is based on values including solidarity, cooperation, care, social justice, and localized development. In this paper, we describe opportunities for HCI to take a post-growth orientation in research, design, and practice to reimagine the design of sociotechnical systems toward advancing sustainable, just, and humane futures. We aim for the critiques, concerns, and recommendations offered by post-growth to be integrated into transformative HCI …"
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Learning from and with Menstrupedia: Towards Menstrual Health Education in India,117,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:2P1L_qKh6hAC,"Menstruation has long remained a conversational taboo across India, resulting in inadequate dissemination of menstrual health education (MHE). Menstrupedia, a digital platform designed for an Indian audience, aims to bridge this information gap to impart MHE via its website and comic. We contribute a study of Menstrupedia---the information exchange on its website, the education it aims to provide, and the perceptions of its users. Using a combination of qualitative research methods, and engaging a feminist Human-Computer Interaction (HCI) lens, we critically analyze Menstrupedia's affordances and shortcomings. We also make recommendations for the design of technology-based dissemination of MHE, as well as additional sensitive and taboo topics."
Neha Kumar,https://scholar.google.com/citations?user=-ZqZyP0AAAAJ&hl=en,-ZqZyP0AAAAJ,Associate Professor @Georgia Tech,6200,"Human-Computer Interaction, Health",http://www.nehakumar.org/,Designing for Intersections,110,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-ZqZyP0AAAAJ&pagesize=50&citation_for_view=-ZqZyP0AAAAJ:35N4QoGY0k4C,"In response to the recent call for a more intersectionally-aware field of human-computer interaction (HCI), we aim to operationalize intersectionality for technology design in HCI. We develop our lens of intersectionality by drawing on the work of Rita Kaur Dhamoon, and use it to analyze data collected from a multi-sited ethnographic study of seven low-resource learning environments in the Indian states of Maharashtra, Tamil Nadu, and West Bengal. Our research contributions are threefold. First, we extend conversations in Intersectional HCI by expanding its scope from understanding users to recognizing social processes. Second, we emphasize the importance of factoring in both penalties and privileges when conducting research in underserved contexts. Finally, we engage situated comparisons as a methodology to identify pathways for designing interactive systems across intersectionally diverse environments."
